issue_key	project	issue_type	summary	description	comments	design_prob	Label
DM-26658	DM	Story	"""Clean up FileFormatter vs Formatter hierarchy"""	"""""""In working on DM-25691 it became clear that the FileFormatter subclass is a bit inconsistent and not as useful as it should be.  We also have some design issues stemming from an initial design decision that Formatter is a generic concept for gen3 that deals with read() and write() to a datastore location but is not specific for files.    At this point it seems likely that Formatter is only used for files and that we can clean up some wrinkles in the structure of the classes by making that explicit. If a new datastore comes along that needs something other than files and needs a Formatter concept then we can create a whole new unrelated class for it."""""""	"""The urgency of this work is not clear to me. It's something that will help future formatter writers but I don't know what the timeline is for other people wanting to write them before gen2 deprecation."" [SEP] ""I think the big question is whether it's likely to change what we want to write into the datastore records tables, either in terms of structural changes or formatter names.  But I think even the worst case is probably a fairly straightforward migration script."" [SEP] ""None of this cleanup would change the formatter names in the datastore. No dataset ever uses Formatter or FileFormatter directly."""	0.99215513	
DM-26141	DM	Improvement	"""Passing connection parameters of the source workers in the replica creation requests"""	"""""""This development was triggered by: https://jira.lsstcorp.org/browse/DM-24587.    In the current implementation of the Replication system the connection parameters (DNS names and port numbers) of the Replication/Ingest workers are supposed to be pre-configured before staring the Controller and workers. This may cause race conditions in the {{k8s}}-based Qserv deployments, in which worker pods start at random times, and where worker servers self-register themselves in the Configuration database as they start. As a result of this workers may get incomplete snapshots of other workers' configurations from the configuration database. This may result in unpredicted failures in workers during replica creation operations since workers may have incomplete (or wrong) connection parameters of other workers.    Hence, the idea is to let master send the connection parameters of the replica source workers to the destination workers along with the replica creation requests.  """""""		0.9917257	
DM-24288	DM	Story	"""Prototype datastore changes to support dataset disassembly/assembly"""	"""""""After some discussion we have decided that it might be better for datastore to be in charge of assembly/disassembly of datasets. Currently registry creates 7 rows per raw with almost none of those components being relevant. We did it this way to allow pipelines to specify components directly. We very rarely want to do this though and it would be more efficient in database storage to have a single row for a dataset in registry and move [dis]assembly to the datastore layer. Then we can instead write a single row if we do not disassemble and multiple rows if we do disassemble (and no row at all for components that were not present).  This is similar to the original implementation of datastore.    This ticket is to check that the approach is feasible and also whether it can be implemented independently of registry to allow us to experiment with both approaches in parallel."""""""	"""While refactoring Registry code, I think I can restate this question from the ticket description:    bq. whether it can be implemented independently of registry    I think the ideal impact on Registry is that these changes make it so we never need to call {{insertDatasets}} with {{recursive=True}} (and hence can eventually remove that option), but we can still call {{insertDatasets}} explicitly on each component dataset and later call {{attachComponents}} to connect them to their parents.    It may also make sense to add logic to {{findDataset}} to - when given a component dataset type - look first for an ID for the component itself, and then fall back to the parent ID and somehow communicate that back to Butler.  It may be able to do that more efficiently than Butler could itself, but I think Butler could otherwise also do that fallback logic, and probably should at first."" [SEP] ""[~<USER> all tests are now passing with disassembly moved to datastore. Vestigial code still exists in butler itself for doing d"	0.9917257	
DM-24764	DM	Story	"""User guide for the Qserv Ingest system"""	"""""""Document the new Ingest system at:  * [User guide for the Qserv Ingest system (API version 1)|https://confluence.lsstcorp.org/pages/viewpage.action?pageId=133333850]    The documentation should include (as minimum):  * an introduction into the design of the system  * an overview of the typical usage scenarios (users' catalog ingest workflows)  * detailed explanation of the interfaces and tools available (needed) for building the workflows  * advanced topics aiming at high-performance workflows, improving robustness of ingests, resource utilization, etc."""""""	"""Overall I think it looks great and contains valuable information for the users, and I love those flowcharts!  Some thoughts from reading it:  * The Name… There were concerns calling this """"ingest"""" or naming it something else to avoid confusion with other ingests in other parts of DM.  It's not clear if we ever reached a conclusion. This might be the time to really decide it. Are we settled with the name Ingest? Dragging [~<USER> in this too.   * Can I think of the API version retrieval tool (Section 4) part of the HTTP RESTful Web services? And the versioning of the Web service interface is not directly relevant to the versioning of the data loading tools?  If so, I'm not sure why section 4 is on its own rather than being part of the 5.1.   * Sect 6.2: Do I remember correctly that """"dec"""" is a reserved word in SQL and using it as a column name might cause problems to Qserv? If so, maybe don't use it in the example?    * It might be useful to have one overview table of all RESTful Web services.  Now they a"	0.99170506	
DM-24416	DM	Story	"""Initial UX design for Rubin Observatory documentation search (www.lsst.io)"""	"""""""Create the initial UX design for the Rubin Observatory search app's front-end (see DM-24298 and linked tickets).    The goals for this design exercise are:   * What types of content are included in the search app?   * How are those types of content categorized and displayed?   * What are the major user groups? What are the key tasks they need to accomplish and how can we streamline those actions?   * How should the site's nav be organized?   * How should search result cards work?    The intent is that this initial design round can get the team onboard with the new search site and set a common vision."""""""		0.9916962	
DM-24774	DM	Story	"""Plan to replace the Confluent replicator connector and other enterprise components of Confluent Kafka"""	"""""""After negotiating pricing with Confluent the conclusion was that we cannot afford their enterprise license. The license is all-inclusive and it costs 10k per node/yr.      We are currently managing a minimum of 3 nodes * 6 instances of the EFD which means 180k/yr.  Also, they consider each component of the Confluent platform running on a different node, so we cannot deploy the Schema Registry and Zookeeper in the same node to reduce costs, for example.    The decision was to replace the Replicator connector with an opensource alternative, [Mirus| https://github.com/salesforce/mirus] seems like a good option for kafka replication, it also uses Kafka connect and is superior to Mirror Maker, see [this blog post| https://engineering.salesforce.com/open-sourcing-mirus-3ec2c8a38537].    The other enterprise product we were using is the Confluent Control center, its been very useful to monitor and diagnose the Kafka clusters.  An interesting alternative for the control center is the [Lenses dashboards| https://docs.lenses.io/1.1/using-lenses/user-guide/dashboard.html]    We plan on investigating these alternatives in the next epic for the EFD.    """""""	"""Plan for replacing the enterprise components of Confluent Kafka (3-4 weeks of work):   * Get familiar with Strimzi, read docs, k8s deployment broker + zookeeper : 2 days   * k8s deployment broker + Kafka Connect + Schema Registry: 2 days   * Make the InfluxDB Sink connector work with Strimzi Kafka connect, build a kafka connect image with the connector plugin, deploy and test: 2 days   * Refresh Kafka-connect-manager - hopefully, it will just work with Strimzi kafka connect, i.e. I expect it has the same API as the Confluent Kafka connect: 3 days   * Argo CD deployment: broker + zookeeper + kafka connect + kafka connect manager + schema registry: 2 days   * Investigate [Mirus|https://github.com/salesforce/mirus] open source alternative for the Replicator connector, add Mirus plugin to kafka connect and test with Strimzi:  4 days   * Add Mirus to Argo CD deployment and make a full replication test between two kafka clusters: 2 days     """	0.9916722	
DM-26409	DM	Story	"""Make a container for distributed generation of data."""	"""""""The data generation system client needs to run on many nodes with multiple copies per node. The most reliable way to do this is to place the necessary components in a container and start containers as needed. Elements that need to be in the container.   * python3   * dax_data_generator   * numpy, pandas, healpy, pyarrow   * sphgeom   * sph-partition    *   qserv-replica-file-ingest (which may require significant parts of qserv)         It may be beneficial to put the server in a container as well, but only one server instance is need and the container would be very similar as the one used for the client."""""""	"""[~<USER> graciously provided code to create containers for the server that could connect to the replication system and these were the basis I used to add clients for the client containers. The containers currently build there own sphgeom master branch as the current master has not yet reached the stack. Once it has, the sphgeom can easily be replaced with 'setup sphgeom'. Testing involved setting up several client containers and one server on my local computer and it produced the same results as on server and one client. "" [SEP] ""Looks good to me. Removing myself from the list of reviewers. I have made comments and suggestions on the PR. Please, consider them."" [SEP] ""One question left on run_datagenclinet.sh, otherwise looks good to me -- thanks!"""	0.99162537	
DM-26259	DM	Story	"""Create design sketch for new filter system"""	"""""""Having compiled “requirements” and use cases in DM-26069, produce a design sketch for a new system for representing filters. This should address the requirements identified on DM-26069, but need not make reference to or be based upon the RFC-624 design (except insofar as you regard that as useful).    This design will ultimately need to be accepted by an RFC, but this ticket can be closed once the design document is ready, without the RFC having been adopted (or even filed)."""""""	"""As discussed with [~<USER> on Slack, I'll try to get the design finalized."" [SEP] ""I've updated the links at https://confluence.lsstcorp.org/pages/viewpage.action?pageId=140283016#Commentson%22FilterLabelRequirements%22-Implementationsketches to point to the revised designs. I think they're fairly simple while satisfying all the requirements."""	0.9915358	
DM-24271	DM	Story	"""Write a design document for “alert stream in a box”"""	"""""""Eric's concept for the alert stream in a box is something like:    - A Docker container  - Which can be pointed to an external directory of alerts on disk  - Which it will read in, then send out over a Kafka stream to some recipients, at a realistic rate and cadence (ie, 10,000 alerts every ~37 seconds).    Write a design document which describes what this will actually consist of. That should probably be formatted as a DMTN (but you can also use Confluence if you find that easier/more convenient)."""""""	"""I happen to have some text describing the functionality in more detail:    A stand-alone alert-stream simulator will be developed. This simulator will be provided to those planning to propose to build community brokers, and will be run by them on their hardware. This simulator will produce a realistic (in terms of alert contents, alert format, and distribution mechanism) stream of alerts. Specifically, the alert stream simulator must:    Be capable of generating realistic streams of LSST transient alerts, at data rates expected of LSST.    Input   A static archive of alerts serialized as files.  A prescription for the rate and frequency which they should be provided to the alert stream.    Output  A stream of alerts that can be consumed locally or on other systems.    Adhere to the technical design of the LSST Alert Distribution System, as described in DMTN-093 and other design documentation provided by the LSST Project. This includes alert serialization using the Apache Avro format in a manner consistent wi"	0.9913065	
DM-25255	DM	Epic	"""Scaling and load characterisation of LSP services"""	"""""""This epic covers architectural development work towards answering these questions:    * what are the current limits of LSP services (eg. how many users can we support)  * how can we either extend those (when they don't meet requirements) or throttle them to the level that they do  * using this infrastructure for deployment testing    This epic also covers some related work by this developer such as maintenance of current VO services and pyVO coordination, as well as IVOA working group representation. """""""	"""The mobu """"monkey"""" has increased in sophistication and its deployment against nublado has found a number of issues and is clearly going to be a valuable testing platform going forward.   We did not complete the scaling characterisation work for two reasons: one, this was displaced by DM-26158, an override request from telescope and site, who had an urgent request to allow sourcing containers from the Nexus private artifact repository. This required significant amount of work, because while Nexus is Docker registry compliant, it is not Docker Hub compliant, and therefore metadata on which nublado was dependent upon was not available.   Secondly, resources at NCSA were too constrained for high volume scale testing without disrupting production services. We propose to carry these tests once these services are deployed in the IDF. """	0.9912417	
