project,issue_key,issue_type,label,prob_design,threshold,pred,val_project,summary,description,gold_label,error_type,margin,error_category,notes
CONFSERVER,CONFSERVER-58007,Suggestion,1,0.406126,0.5773,0,MESOS,Provide a better error message when iCalendar plugin is disabled in Team Calendars & Jira integration,"""This suggestion is in relation to the Confluence & Jira integration with respect to Team Calendars.     If the Jira system plugin _iCal_ is disabled, the user will not have all features of the integration and will not understand why that is. It would be ideal if we detected that the plugin was disabled on the Jira side and delivered this message to the admin so that they could address it. """,design,FN,0.17117400000000005,,
CONFSERVER,CONFSERVER-60333,Suggestion,1,0.262064,0.5773,0,MESOS,"We would like to have reminders set for each individual events rather than, just each Event Types, like we have in Microsoft Outlook Calendar.","""h3. Issue Summary    We would like to have reminders set for each individual events rather than, just each *Event Types*, like we have in Microsoft Outlook Calendar. Maybe we can configure a global reminder for *event type*, and then separate reminder is also possible for each individual events created.  h3. Steps to Reproduce   # Create an Event with Event Type as default """"Events""""   # Navigate to the calendar and try to set reminder for the Event created (We don't have an option here and reminder can be set against the Event Types only)    h3. Expected Results    Once, an Event is created, we should be able to set reminder for each event individually.  h3. Actual Results    We can set the Reminder only for *Event Types* as a whole but not to each event created individually.  h3. Workaround    We can create multiple Custom Event Types, as a workaround, which will allow us to set reminder for each of them individually. But, yes that can be an extra work with lots of Custom Event types to manage. I have tried this and below is the screenshot for your quick reference:     !screenshot-1.png|thumbnail! """,design,FN,0.315236,,
CONFSERVER,CONFSERVER-60260,Suggestion,1,0.439063,0.5773,0,MESOS,Bulk edit of Confluence and Jira gadgets in Confluence,"""h3. Problem    Currently, there is no way of bulk editing multiple Confluence or Jira gadgets used in a Confluence page.    Example:   !image-1.png|width=359,height=143!!image-2.png|width=358,height=193!  h3. Suggested Solution    Implement things like  h3. Why This Is Important    It would be helpful for pages working as dashboards and using multiple gadgets to edit configuration or filters once and have all the gadgets automatically updated.""",design,FN,0.13823700000000005,,
CONFSERVER,CONFSERVER-60326,Suggestion,1,0.556982,0.5773,0,MESOS,Search in current location / space,"""If I am looking at a page I would like the option to do a search which searches only the current page / children. This would make the search feature 10x more useful on a day to day basis.    If I am looking at a space I would like the option to do a search which only searches the current space (without having to manually add the space name in the search screen after I've already done the search). This would prevent the extra (annoying) step of having to work out the space you were looking at and entering this manually on the search page.    This could easily be achieved in the UI by adding a couple of checkboxes next to the search box, for example: """"Current Space"""", """"Current Location"""" would be simple and contextual.""",design,FN,0.020318000000000058,,
CONFSERVER,CONFSERVER-60259,Suggestion,1,0.4336,0.5773,0,MESOS,Run XML export in sandbox process,"""h3. Problem Definition  XML export of space or site consumes a lot of computing resources and can affect the performance of other operation in Confluence.   e.g. Someone runs XML export of a huge space and it causes garbage collection ending up with an overall performance degradation.     h3.  Suggested Solution  Let the XML export run in the [External Process Pool for Confluence Data Center|https://confluence.<USER>doc/external-process-pool-for-confluence-data-center-958779098.html]""",design,FN,0.14370000000000005,,
CONFSERVER,CONFSERVER-58317,Suggestion,1,0.34652,0.5773,0,MESOS,Add support for Microsoft Stream to Widget Connector macro,"""h3. Summary    As a <USER> I would like to be able to use Microsoft Stream within Confluence pages.  h3. Problem Statement    Currently, the Widget Connector macro does not support Microsoft Stream. For a user to connect with Microsoft Stream, HTML or iFrame macro must be used. This type of custom solution can be limiting for Cloud users  h3. Suggested Resolution    Add support for Microsoft Streams into the native macro in Confluence, Widget Connector. This should allow any user within the instance to use the solution.  h3. Workaround    Insert an iFrame to show the content of said video:   [*iFrame Macro - Confluence Cloud*|https://confluence.<USER>confcloud/iframe-macro-950276528.html]   [*How to put an iFrame into Confluence - Confluence Server*|https://confluence.<USER>confkb/how-to-put-an-iframe-into-confluence-598837531.html]    Check this Microsoft Page on how to acquire the necessary information to share your videos:   [*Embed Microsoft Stream videos*|https://docs.microsoft.com/en-us/stream/portal-embed-video]                  _Previous Ticket Description_    We use Microsoft Stream for internal videos. Currently, there doesn't appear to be an easy way to embed these videos in a Confluence page.   Please consider adding support for Microsoft Stream to the Widget Connector macro to allow doing so.    Thanks!""",design,FN,0.23078000000000004,,
CONFSERVER,CONFSERVER-60295,Suggestion,0,0.60947,0.5773,1,MESOS,Better to add grid type of field in Jira instead of using third party plugins like idalko grid editor,"""As of now, we are using idalko grid editor plugin for grid type of fields and facing some report issue. Whereas if there is grid type of field in Jira , then there might not be a report values issue.""",non-design,FP,0.03216999999999992,,
CONFSERVER,CONFSERVER-60397,Suggestion,0,0.988865,0.5773,1,MESOS,API to copy page for server/dc hosted Confluence,"""Currently we don't have an API available to copy a page or page hierarchy using REST API for Confluence hosted on server/dc where the same is available for Confluence Cloud.  * [api-content-id-pagehierarchy-copy-post|https://developer.<USER>cloud/confluence/rest/api-group-content---children-and-descendants/#api-api-content-id-pagehierarchy-copy-post]    The request is for having an API for Confluence on server/dc""",non-design,FP,0.41156499999999996,,
CONFSERVER,CONFSERVER-60278,Suggestion,0,0.943614,0.5773,1,MESOS,Optimise permissions checking for a space,"""h1. Background    At the moment, if a space has permissions for 10 different groups, and Confluence needs to check is user has an access to the space, it call this method 10 times:    If there are a plenty of groups, each call would take some time, and users will notice the slowness of the system.  h1. Possible solutions  h2. Solution 1. We need a method in Crowd like:    It would improve performance, but it requires to change Crowd API.   h2. Solution 2. Retrieve all user groups only once    Another way (without modifying Crowd) is to retrieve all user’s groups first (Crowd allows to do this). And then check check user's groups against space groups without calling Crowd again.    The only problem could be if a user is a part of thousands of groups, but, fortunately, the result will be cached and used for any other space.    Here is the relevant stack-trace:  """,non-design,FP,0.3663139999999999,,
CONFSERVER,CONFSERVER-60398,Suggestion,0,0.768162,0.5773,1,MESOS,Notifying Space Creator while the space is archived by admin,"""Currently, there is no notifications sent to space creator if Confluence administrator archives that Space. It would be helpful if the Space owner/creator gets a notification once the space is archived. """,non-design,FP,0.19086199999999998,,
