adjudication_id,project,issue_type,summary,description,adjudicated_label,resolved_by_definition,notes
1,TIMOB,Improvement,iOS: Use new build system in module build,"""In Xcode 12 , Apple has deprecated 'Legacy Build System'. In titanium module build 'Legacy Build System' is still used. See [here|https://github.com/<USER>titanium_mobile/blob/59f313aef87d3ea3492b3216cacec7900dc7a6b7/iphone/cli/commands/_buildModule.js#L465]. Update to use  'New Build System'.""",,,
2,TIMOB,Bug,Android: ListViewItem does not activate ripple effect from child views,"""- Pressing on a child view within {{ListViewItem}} does not active the row ripple effect.    *TEST*      *EXPECTED*  - {{ListViewItem}} shows ripple effect anywhere the row is tapped, including child views.    *ACTUAL*  - {{ListViewItem}} does not display ripple effect when child view is tapped.""",,,
3,DM,Story,Migrate GenericCamera CSC to SALOBJ 6,"""Migrate the GenericCamera CSC to SALOBJ 6, including the Docker image.""",,,
4,DNN,Improvement,Prompt: Mis-Alignment of Close icon on Scroll bar,"""*+Steps to Reproduce:+*  # Go to PB -> Settings -> Prompt   # In console, enter the command """"list-modules""""  # View the display of close icon on Scroll bar    *+Expected Result:+*  Alignment of Close icon and Scroll bar should be proper in prompt console    *+Actual Result:+*  Alignment of close icon on scroll bar isn't proper   !image-2018-01-23-19-57-11-655.png|thumbnail! """,,,
5,SERVER,Task,"""TenantMigrationConflict should store a shared_ptr to the TenantMigrationAccessBlocker""","""""""This ensures that the [<USER>block|https://github.com/mongodb/mongo/blob/ee3c94bb462b757cd12e77c6c23ac3e56b01c194/src/mongo/db/repl/tenant_migration_donor_util.h#L113] in the service entry point is able to find out the migration's outcome.    Otherwise, it's unlikely but possible that the migration would have completed and been forgotten by the time the <USER>block executes.    This ticket should add a test that if the migration is forgotten before the <USER>block executes, the operation still correctly returns the migration's outcome.""""""",,,
6,SERVER,Improvement,"""Map setup_multiversion_mongodb.py args to evergreen build variants""","""""""Map the current args (--edition, --platform, --architecture) to evergreen build variants.    """"""",,,
7,FAB,Story,Add example for individual Orderer value updates,"""Add an example to show migrating to etcdraft using the individual orderer update functions.     """,,,
8,DM,Improvement,Add doc field to obs.base.FilterDefinition,"""As proposed in RFC-730, add an optional doc field to {{FilterDefinition}} that can be used to describe filters whose purpose is not obvious from their band or physical name. This change can be made independently of the other changes proposed on that RFC.""",,,
9,MULE,Task,Spike on OAuth support for SDK,"""Spike on OAuth support for SDK""",,,
10,NEXUS,Improvement,Artifacthub Metadata for helm repositories,"""It would be very nice if we could upload an [artifacthub-repo.yml|https://github.com/artifacthub/hub/blob/master/docs/metadata/artifacthub-repo.yml] file to a helm repository, so we can link a Nexus helm repository to [ArtifactHub|https://artifacthub.io/].    [ArtifactHub Documentation|https://github.com/artifacthub/hub/blob/master/docs/repositories.md#helm-charts-repositories]""",,,
