,roberta_best,roberta_baseline,modernbert,qwen_lora_pretrained,qwen_lora_cold,svm,gradient_boosting,claude_zeroshot,claude_fewshot,gpt4o_zeroshot,gpt4o_fewshot,llama_zeroshot,llama_fewshot
CONFSERVER,0.8108,0.8333,0.7,0.6721,0.4882,0.7379,0.7238,0.7448,0.777,0.766,0.791,0.6917,0.7215
DM,0.6804,0.5862,0.4971,0.4569,0.4348,0.6154,0.5051,0.6,0.5802,0.5324,0.5578,0.4957,0.4727
DNN,0.775,0.7872,0.7609,0.6772,0.6349,0.642,0.6207,0.7767,0.8039,0.7216,0.7692,0.6875,0.7009
FAB,0.6993,0.7049,0.6447,0.5698,0.4772,0.6909,0.5263,0.6618,0.6822,0.6667,0.6912,0.5041,0.5665
JRASERVER,0.7667,0.7344,0.7759,0.6118,0.5897,0.7925,0.7679,0.6267,0.6154,0.5946,0.6164,0.5985,0.5868
MESOS,0.7903,0.7067,0.6748,0.5922,0.6345,0.6852,0.6087,0.6533,0.6712,0.6761,0.6714,0.7018,0.7027
MULE,0.8033,0.7429,0.7324,0.5366,0.4976,0.7206,0.7179,0.7153,0.7742,0.6957,0.7391,0.6555,0.6171
NEXUS,0.807,0.7642,0.7576,0.6712,0.5256,0.7048,0.7257,0.7669,0.7692,0.7656,0.7752,0.7434,0.6713
SERVER,0.449,0.5902,0.4828,0.4444,0.4,0.4,0.2319,0.495,0.5102,0.5532,0.5263,0.5714,0.5098
TIMOB,0.7434,0.6614,0.6617,0.55,0.5806,0.6729,0.6102,0.6822,0.7478,0.6875,0.7414,0.6613,0.6565
