issue_key	project	issue_type	summary	description	comments	design_prob	Label
MESOS-8971	MESOS	Task	"""External Resource Provider Design"""	"""""""We need a design for external resource provider and how external resources are used. How external resources are offered to the frameworks is a separated issue and is not covered in this design."""""""		0.9936885	
MESOS-7531	MESOS	Task	"""Handle maintenance for local resource providers"""	"""""""Local resource providers are closely tied to the agents they're running on. As the machines the agents are running on, might be scheduled for maintenance, we need to make sure that local resource providers running on that machine are affected as well. I.e. if a machine is set to the {{DOWN}} maintenance state, find out which resource providers are running on that machine and change their {{availability}} state in the allocator."""""""	"""Closing as as {{WONT_DO}} as we have in the meantime moved to a model where local resource provider resources at least from a framework's perspective become part of the agent resources, and where a local resource provider's lifetime is tied to an agent's lifetime. The master has no direct knowledge of local resource providers in the picture, so they cannot be put into maintenance independently of the agent."""	0.9936052	
MESOS-9780	MESOS	Improvement	"""Improve """"picky"""" framework resource allocation under random sorter."""	"""""""Picky frameworks are frameworks that are interested in some particular set of resources.  With the current offer model, such a framework usually keeps declining and filter uninterested offers until accepting an offer that meets its needs.    While picky frameworks are always prone to performance issues. These frameworks are more likely to experience offer starvation issues under random sorter than the DRF sorter.    Under DRF sorter, declining offers or Mesos side resource filtering do not affect the framework's dominant resource share. Since other frameworks might get resource allocated at the same time which brings up their shares comparatively, a declined/filtered framework would usually have a higher chance of getting other offers as time goes by (if it keeps declining). This reduces the time such a framework getting what it wants eventually.    Random sorter, however, is stateless. A decline or filter action has no effect on the chance of a framework getting offers. A framework declining or filtering an offer essentially wastes a shot for nothing. It becomes a truly altruistic act with no perceived gain on the framework side. This makes the random sorter likely to perform poorly compared to DRF in terms of handling picky frameworks."""""""	"""which means need a mechanism, to allow mesos framework tell  mesos allocator their resources constraints. For now, mesos offer have two main features: (1) quota management (2) reserve resource on specified agents.  Reserve api is a kind of method, can achieve this target for """"picky"""" framework, but this method will change framework lanuch task behavior, and make too many resources reserved fragments for different roles, and make too many mesos api call for reserve of each applications (e.g.  marathon framework), that will also make allocator resources schedule useless."""	0.9934455	
MESOS-9738	MESOS	Improvement	"""Add per-framework metrics for offer round trip time."""	"""""""This would provide more insights into framework responsiveness, help detect worrisome behaviors such as offer timeout, offer hoarding and etc.    One tricky thing is that we need to take Mesos's own queuing delay into consideration."""""""	"""Thanks for filing this [~<USER>. Like we discussed offline, we recently had a situation where we suspected problematic hoarding and offer handling, and exposing this directly would help to drill down into what could cause certain allocation issues. It is still not clear to me how an operator would make use of that information to deal with problematic, non-cooperative behavior though outside of changing framework weights to reduce the number of offers to such frameworks. I recently filed MESOS-9748 which proposes one automatic but only partial mitigation strategy, but I feel there might be more we could do here, even with existing APIs."""	0.99344033	
MESOS-9774	MESOS	Task	"""Design client side SSL certificate verification in Libprocess."""	"""""""Notes from an offline discussion with [~<USER>, [~<USER>, [~<USER>, [~CarlDellar].  * Authentication can happen at the transport and/or at the application layer. There is no real benefit in doing it at both layers.  * Authentication at the application layer allows for subsequent authorization.  * We would like to have an option to mutually authenticate all components in a Mesos cluster, including external tooling, regardless at which layer, to secure communication channels.  * Mutual authentication at the transport layer everywhere can be hard because some components can't or don't want to provide certificates, e.g., a Lua HTTP client reading master's state.  * Theoretically, some components, e.g., Mesos masters and agents, can form an ensemble inside which all connections are authenticated on both sides at the transport layer (TLS certificate verification). Practically, it may then be hard to implement communication with the components outside such ensemble, e.g., frameworks, executors, since at least two types of connections/sockets should be distinguished: with and without client certificate verification (Libprocess can't do it now), or all the traffic between the ensemble and outside components should go via a proxy.  * An alternative is to combine server side TLS certificate verification with the client side application layer authentication. For that to be secure, we need to implement client authentication for Mesos components, e.g., master with agent, replica with other replica (see MESOS-9638). Plus relax certificate verification option in Libprocess for outgoing connections only. For non-streaming connections a secret connection identifier should be passed by the client to prove they are the entity that has been previously authenticated.  * Whatever path we choose, truly secure communication channels will become when separate certificates for Mesos components are used, either signed by a different root CA or using a specific CN/SAN, which can't be obtained by everyone.    What needs to be done:  * Introduce or adjust the Libprocess flag for verifying certificates for outgoing connections only.  * Verify how replicas in the master's replicated log discover other replicas and what harm a rogue replica can do if it tries to join the quorum. Estimate whether master's replicated log can use its own copy of Libprocess.  * Implement Mesos master authentication with Mesos agents, MESOS-9638."""""""	"""Design Doc: https://docs.google.com/document/d/1O3q7UOXVGNw81xOkRNFPzrtbC__D-N_D_mwV6D--y0k/edit"""	0.9932834	
MESOS-8984	MESOS	Epic	"""Multi-host Shared Storage Support using CSI."""	"""""""Volumes under this category can be accessed from multi-hosts simultaneously.    Examples of this kind of shared storage are (either NFS based, or fuse based):  * NFS  * S3FS  * Glusterfs  * Portworx shared volume  * ...    The volumes in this category do not require multi-node coordination and does not need to be modeled as Resources (unlike those targeted in MESOS-8371). For instance, if a volume that can only be exclusively accessed from a node at any given time, then it does not qualify this category (e.g., EBS volume).    The support those those volumes will be much simpler (comparing to e.g., EBS volumes (MESOS-8371) which should be modeled as global resources) because Mesos can simply connect to those volumes as long as the framework has access to the handle of the volume, and all the lifecycle management of the volume can be done locally on an agent."""""""		0.99310476	
MESOS-9748	MESOS	Improvement	"""Consider installing filters if offers time out"""	"""""""We currently do not install any filters if an offer to a framework times out. We should consider recovering with a filter for some duration.    This can be interesting in cases where e.g., framework offer processing is backlogged so it cannot accept offers in time. If no filter is installed we could end up allocating to that framework again and again (and exclusively if other frameworks already use more resources than what we offer the backlogged framework at a time).    If we would instead filter the resources from timed out offers for some allocation cycle, we could extert some form of backpressure on the framework's behalf which could allow it to recover. We also would give a chance that other frameworks can actually use the resources.    The optimal duration to filter the resources for would depend on the (dynamic) number of frameworks interested in offers and might be hard to determine. Filtering for a single allocation cycle might be a good starting point to get some of the benefits without causing too much new behavior."""""""	"""Some thoughts:    If we're going to make it more explicit for frameworks to declare what it wants and what it doesn't want, we probably want to avoid introducing implicitness like this."" [SEP] ""[~<USER>, one could also argue that a framework which let's offers time out instead of accepting or declining them has already violated the offer protocol. I agree that implicit behavior can be confusing, but I believe one could argue here from a position of Mesos guarding itself against misbehaving frameworks (especially important since we rely on frameworks behaving correctly)."""	0.9930735	
MESOS-7030	MESOS	Documentation	"""Update quota documentation for MESOS-6432"""	"""""""With MESOS-6432 we changed the behavior of quota: now a quota is considered satisfied if a single resource kind in the quota vector was allocated to the quotaed value.This also slightly changed the notion of quota in the interplay of guarantee and limit.  For frameworks with use patterns similar to the set quota the original behavior is preserved; for frameworks with use patterns wildly different than the quota however the new behavior can lead to possibly surprising behavior (e.g., unexpectedly low number of offers after a component in the quota vector reaches its nominal value).  We should make sure the documentation prominently calls out the new behavior, and encourages operators and framework developers to monitor their frameworks' usage pattern in order to set reasonable quotas. We should also check that the documentation paints a correct picture of quota in the context of guarantee and limit."""""""		0.9930386	
MESOS-8132	MESOS	Task	"""Design a library to send offer operation status updates"""	"""""""As detailed in the [offer operation feedback design doc|https://docs.google.com/document/d/1GGh14SbPTItjiweSZfann4GZ6PCteNrn-1y4pxOjgcI/edit#], we need to add a library to do the following:  * Send offer operation status updates  * Checkpoint pending/unacknowledged operations  * Retry operation status updates until an acknowledgement is received    This should be a common library which can be used by the agent (for its default resources) and by local resource providers. In the future, it can also be used by external resource providers.    We should write a short design doc to explore precisely how this will be implemented. It can probably be modeled after the task status update manager in the agent."""""""	"""Short design doc [here|https://docs.google.com/a/<USER>io/document/d/1hGPQA2pGjUwiR93J1mZuANByXupv42PRYZgi-HU8mb8/edit?usp=sharing]."""	0.9929517	
MESOS-7746	MESOS	Task	"""Offer the resources from non-capable agents to hierarchical role"""	"""""""For refined reservations, we decided to offer non-capable resources to frameworks with {{RESERVATION_REFINEMENT}} since the resources can still be used to launch tasks and such. The master drops {{RESERVE}} requests that actually create refined reservations.  This behavior should be consistent in hierarchical roles as well. Specifically, we should still offer the non-{{HIERARCHICAL_ROLE}} capable agents' resources to hierarchical roles, and have the master reject persistent volume creation requests."""""""	"""I think we can close this ticket as Won't Fix.  Given a cluster with a new master and old agents, consider what happens when a framework opts into reservation refinement vs hierarchical role. A framework opts into reservation refinement by subscribing with the {{RESERVATION_REFINEMENT}} capability. If we don't offer old agents' resources to the framework, it cannot continue its existing workload, say simply launching tasks using top-level roles on old agents. This behavior would be very disruptive to the framework and hence we avoid this.  On the other hand, a framework opts into hierarchical role simply by subscribing to hierarchical roles. There is no framework-wide capability that affects the existing workload. That is, The top-level roles continue to get offered resources from the old agents. This behavior is not disruptive to the framework, hence my claim that this ticket can be closed as Won't Fix.  h4. Enumeration of Scenarios - {{HR}} - hierarchical role - {{RR}} - reservation refinement - {{-}} mean"	0.9929061	
