adjudication_id,issue_key,project,issue_type,mine,peer
1,TIMOB-28071,TIMOB,Improvement,non-design,design
2,TIMOB-28167,TIMOB,Bug,non-design,design
3,DM-27129,DM,Story,non-design,design
4,DNN-10724,DNN,Improvement,non-design,design
5,SERVER-51452,SERVER,Task,non-design,design
6,SERVER-51776,SERVER,Improvement,non-design,design
7,FAB-18092,FAB,Story,non-design,design
8,DM-27173,DM,Improvement,non-design,design
9,MULE-11788,MULE,Task,design,non-design
10,NEXUS-25528,NEXUS,Improvement,non-design,design
11,MESOS-10030,MESOS,Improvement,non-design,design
12,SERVER-51716,SERVER,Bug,design,non-design
13,TIMOB-28087,TIMOB,New Feature,non-design,design
14,FAB-18187,FAB,Story,non-design,design
15,NEXUS-24858,NEXUS,Improvement,non-design,design
16,DM-27220,DM,Story,non-design,design
17,MESOS-10168,MESOS,Task,non-design,design
18,JRASERVER-71685,JRASERVER,Bug,design,non-design
19,SERVER-51493,SERVER,Task,design,non-design
20,DNN-10834,DNN,Improvement,non-design,design
21,NEXUS-24851,NEXUS,Improvement,non-design,design
22,CONFSERVER-60295,CONFSERVER,Suggestion,non-design,design
23,DNN-7847,DNN,Task,design,non-design
24,JRASERVER-71591,JRASERVER,Suggestion,non-design,design
25,FAB-14296,FAB,Task,design,non-design
26,JRASERVER-71669,JRASERVER,Suggestion,non-design,design
27,JRASERVER-71686,JRASERVER,Suggestion,non-design,design
28,DM-27188,DM,Improvement,non-design,design
29,FAB-18227,FAB,Sub-task,non-design,design
30,CONFSERVER-60309,CONFSERVER,Suggestion,non-design,design
31,NEXUS-24912,NEXUS,Improvement,non-design,design
32,JRASERVER-71619,JRASERVER,Suggestion,non-design,design
33,SERVER-51775,SERVER,Improvement,non-design,design
34,TIMOB-28029,TIMOB,Improvement,non-design,design
35,TIMOB-28077,TIMOB,Improvement,non-design,design
36,FAB-18230,FAB,Task,design,non-design
37,DM-27143,DM,Story,non-design,design
38,JRASERVER-71707,JRASERVER,Suggestion,non-design,design
39,DM-27117,DM,Improvement,non-design,design
40,FAB-17891,FAB,Story,design,non-design
41,FAB-18268,FAB,Task,design,non-design
42,JRASERVER-71650,JRASERVER,Suggestion,non-design,design
43,DM-27146,DM,Story,non-design,design
44,SERVER-51653,SERVER,New Feature,non-design,design
45,NEXUS-25303,NEXUS,Improvement,non-design,design
46,NEXUS-25035,NEXUS,Improvement,non-design,design
47,DM-27206,DM,Story,non-design,design
48,SERVER-51764,SERVER,Task,non-design,design
49,JRASERVER-71586,JRASERVER,Suggestion,non-design,design
50,SERVER-51660,SERVER,Task,non-design,design
51,DNN-10744,DNN,Improvement,non-design,design
52,DNN-10723,DNN,Improvement,non-design,design
53,MULE-14661,MULE,Enhancement Request,non-design,design
54,FAB-18243,FAB,Story,non-design,design
55,DNN-10731,DNN,Improvement,non-design,design
56,NEXUS-25491,NEXUS,Bug,non-design,design
57,TIMOB-28072,TIMOB,Improvement,non-design,design
58,FAB-16102,FAB,Task,design,non-design
59,NEXUS-25110,NEXUS,Improvement,non-design,design
60,JRASERVER-71724,JRASERVER,Suggestion,non-design,design
61,CONFSERVER-60297,CONFSERVER,Suggestion,non-design,design
62,DNN-10742,DNN,Improvement,non-design,design
63,JRASERVER-71687,JRASERVER,Suggestion,non-design,design
64,FAB-18178,FAB,Documentation,non-design,design
65,DNN-10827,DNN,Improvement,non-design,design
66,FAB-18217,FAB,Sub-task,non-design,design
67,MULE-14656,MULE,Story,non-design,design
68,MULE-14817,MULE,Task,design,non-design
