issue_key	project	issue_type	summary	description	comments	design_prob	Label
MULE-13928	MULE	Enhancement Request	"""CorrelationId should be propagated from flow to other flows or systems via connector operations"""	"""""""When a JMS/AMQP or other messaging connector operation is used (e.g. jms:publish) the Flow correlationID should be propagated via the outbound message as an external correlationID (as defined in the relevant specification).    This is important both from a functional perspective to allow for traceability of transactions across multiple flows and external applications via analytics/insights, log output and customer use of Splunk and other such tools. But is also very important for the supportability of customer solutions by our support team.    Given traceability and supportability is a cross-cutting concern of huge value to users of our platform, propagation of correlationID's for this purpose should happen by default and the user should not need to i) turn it on specifically ii) have any specific knowledge of what specific headers should be configured manually in order to achieve the necessary propagation to achieve traceability and supportability.    This applies to all connectors where the concept of correlationId is present in the spec, but we should seriously consider also using """"""""X-Correlation-ID"""""""" on outbound HTTP messages too. (this is not a standard but is best practice). See: http://hilton.org.uk/blog/microservices-correlation-id https://blog.logentries.com/2016/12/the-value-of-correlation-ids/ See: MULE-14085     We already allow for the correlationID to be customised using a DW expression (in some connectors) but the default behaviour, if this is not configured, should be to propagate the flow correlationID.    Note that to achieve traceability/supportability and functionally match Mule 3 in this regard MULE-13927 is also needed.    A future improvement, if there is need for it, would be to not only allow the outbound correlationId to be customized, but to allow it's use to be disabled completely. See MULE-14086."""""""	"""This behaviour shouldn't be default. It is trivial to propagate the correlation id with DW, and to have consistent behavior across connectors, that should be the way to do it.    Maybe there should be a way to enforce this behavior generally (for bridges and so) vis system property or an entry in the application descriptor?"" [SEP] ""[~rodrigo.merino]   - The fact that it is trivial to manually set is not relevant.  It is important that the correlationId is propagated by default (for the reasons detailed above) without explicit user configured, regardless of how trivial/complex this configuration is to configure manually.  - I don't understand your consistency concern. Why would it be inconsistent for JMS, which supports the concept of correlation, to propagate a correlationId, and for TCP not to? That's simply an expected difference between connectors due to the differing nature of the underlying messaging system, not an inconsistency.  - The idea of changing this behaviour via a flag or system property for s"	0.99233776	
MULE-11964	MULE	Enhancement Request	"""Review JMS Listener's consumers usage implementation"""	"""""""*Review JMS Listener's consumers usage implementation*    * In 3.x the JMS Listener can be configured to listen for messages using multiple consumers at the same time, this capability was removed in 4.x.  * In 4.x to be able to maintain the """"""""Sync"""""""" capability of the listener, the different consumers must be from different sessions, so we can maintain the unitary ACK/Session recover over just one message.  * Re-adding this capability implies:  ** If it is possible to create a session per consumer.  ** A rework in the JMS Listener to support multiple consumers.  ** How this is going to work when the destination is a TOPIC"""""""		0.99230534	
MULE-13831	MULE	Task	"""Use shared reactor stream(s) rather than once per event  for performance and back-pressure"""	"""""""Create reactor stream once per source thread rather than once per event.    This issue is required for:  - Performance (but also requires MULE-14113)  - To support back-pressure.    There are a number of options:  - Use single shared stream and synchronize onNext  - Use single shared stream with ringBuffer  - Use a shared stream for each source thread.    Before implementing this, some tests to decide the best approach for performance will be required.  Also need to determine if back-pressure per source thread works in some scenarios, or if we will always need more global back-pressure.    It will be hard to do performance testing of the different options without MULE-14113 complete."""""""		0.99217016	
MULE-12768	MULE	Task	"""Message sources need to be able to define how they want the Flow to handle back pressure."""	"""""""Currently the way in which a Flow reacts to overload depends on i) source thread ii) processing strategy in use iii) thread pool used by processing strategy because it's logic internal to SchedulerService that determines if/when a source thread should block based on relative thread types.    Not all processing strategies start with the scheduling of tasks to a Scheduler and instead a Flow should be able to respond to back-pressure and handle it regardless of logic internal to schedulers.  The Flow can either always fail with an OVERLOAD exception on back-pressure, can always WAIT or use one of the two strategies based on the MessageSource.  - Always WAIT is not an option because some sources like HTTP, need to fail fast with a 503 response rather than block selector threads.  - Always fail with OVERLOAD exception is an option, but it means i) there is overhead associated with creating, throwing and handling the exception and error. ii) the source needs would need to implement it's on retry.  - Have the MessageSource or ExtensionMessageSource expose the desired strategy ERROR/WAIT/DROP and the Flow implement this at the point in which the Event is dispatched to the reactor stream avoiding the need to create of catch    The signature needed would be""""""""    ERROR/WAIT/DROP MessageSource.getBackPressureAction()"""""""		0.992151	
MULE-14373	MULE	Task	"""Define annotations to exclude java elements from the API"""	"""""""We need a way to mark which parts of what is exposed on the API is NOT considered API. This could sound counterintuitive, but consider this examples:    • Interfaces that are not supposed to be implemented by clients, they are only provided in the API for consumption only   • Classes that are not supposed to be extended by clients, they are provided in the API as a generic type for consumption only   • Classes that are not supposed to be instantiated by clients, they are provided in the API as a generic type for consumption only   • Methods that are not supposed to be overridden by clients, they are provided for internal usage only   • Types that not supposed to be directly referenced by clients"""""""		0.99125767	
MULE-14488	MULE	Epic	"""Mule 4 - Flow representation model"""	"""""""This epic is to define a model to represent a flow and flows relationships. The idea of this model is that it can be used for having different representations of the flows.    The model may have different layers of data that can be applied to. So we can generate graphical representations of the flow with more/less data when needed. For instance, there may be a layer for *monitoring* that shows TPS, error rate, latency, etc. Another layer that shows main configuration values for each operation to provide more context to the user, another layer that shows execution order of operations, etc.    The model is meant to be reused by every product that must create a graphical representation of a flow."""""""		0.9911186	
MULE-12392	MULE	Enhancement Request	"""Introduce message selection/filtering in ONE_WAY sources """	"""""""Given idempotent filter and expression-filter no longer exist in mule core in 4.0 there is no easy way to filter/select which messages should be processed by the flow from a one-way source without using JMS specific selectors.    A typical use case which will no longer be possible without throwing exceptions and error handling is filtering out repeated messages with idempotent filter.  The reason filters were removed from mule-core was because they are an issue with request-response flow.    The best solution to this problem is for one-way sources to support a """"""""selection"""""""" strategy to determine which messages should be processed (passed on to flow) and for us to provide a idempotent and potentially expression-based strategy."""""""	"""This should also exist for request response sources, only that in that case, the filter should have a companion """"default response"""" chain"""	0.9910761	
MULE-14337	MULE	Task	"""Only support back-preasure configuration in HTTP"""	"""""""Until we clearly define an implementation for each of the back preasure strategies, we should only support WAIT as an option in all sources. Having a default implementation for other strategies make no sense since each of them require proper treatment and if we don't do that then we would be breaking backwards compatibility in the future"""""""	"""Agree we shouldn't rush to expose these strategies in general until we are clear on how each connector should implement them, especially for FAIL. This is not the case however with DROP for JMS/AMQP/VM though as there is only one possible implementation here; drop and ack anyway. """	0.9910244	
MULE-14471	MULE	Task	"""Add field in mule-artifact.json to declare configuration properties that must be secure"""	"""""""In Mule 3 it was possible to declare which properties must be handled as secure by the platform through a property in mule-app.properties (https://docs.mulesoft.com/runtime-manager/secure-application-properties).    We need a similar approach for Mule 4 in order to maintain the same functionality until we properly implement discovery of artifacts configuration at deployment time."""""""	"""The idea is to just add the secureProperties field that the user can manually configured for now in the same way he did it within mule-app.properties. Within mule such field has no effect but other tools can access it and determine which config properties must be hidden"""	0.9909945	
MULE-11910	MULE	Task	"""Improve aether maven repository configuration"""	"""""""Currently we are using aether to get dependencies from projects. This may be for deploying a lightweight application which will use the container repository and try to connect to a remote repo in order to download dependencies, or it may be in the embedded container factory, which will try to use the user repository to get dependencies.    We need to improve this configuration so:   - When running in embedded mode, configuration can be provided to set up the repository to use so it works when running it from studio   - When running in container mode, and deploying a lightweight application, the external repository configuration supports a set of repositories to use and also credentials to connect to it. This must be done considering that we MUST be able to connect to exchange when they act as a maven facade."""""""	"""Closing as duplicate of MULE-10394"""	0.9906502	
