issue_key	project	issue_type	summary	description	comments	design_prob	Label
DNN-10191	DNN	Improvement	"""SI: Module containers can still see Host containers as Admin role"""	"""""""Noticed in Content 9.1.1.    Preconditions:  - Have a portal level container and host level container    Steps to reproduce:  1. Login as Admin  2. Put a module on the page and go to the module settings  3. In the Page Settings Tab > Click the Module Container Dropdown.    Expected result:  User can only see Portal Level Containers.    Actual Result:  User can see Host and Portal Level Containers.    !2017-08-16_1234.png|width=1000!"""""""	"""This is by design and has worked this way for years (since skinning was introduced in 2.x).   If a container (or theme) should be portal exclusive, it needs to be installed in the single portal. "" [SEP] ""this is an issue of understanding:  Host Skins means shared skins (vs. site specific skins)"""	0.9913135	
DNN-8343	DNN	Improvement	"""DnnImageHandlers > Enhance IPCount mechanism to avoid file locking"""	"""""""The dnnImageHandler IPCount mechanism to prevent DoS attack write files under AppData. In 8.0.0 regression we have found some locking issues and this locking can be more aggressive in web farm scenario (see related issue DNN-8086).    The goal of this improvement is change the mechanism to use memory (i.e.: cache) or database to provide a more roboust solution.    *Important*  Caching should be the first option as we want have a very high performance mechanism. Database would imply a considerable number of read/writes that could hit performance. In that case we should ensure that the solution does not impact the site overall performance.  If we use a system based on cache we should consider web farm scenario.   """""""		0.9908805	
DNN-8141	DNN	Story	"""Implement Moniker API for Service Framework """	"""""""A moniker is a simple name provided for an objects that simplifies identifying specific object instances.  This concept was first used in Microsoft Object Linking and Embedding (OLE), and the Component Object Model (COM).      The DNN Services Framework was first introduced in DNN 6.2.  When creating web services with the Service Framework, it is common to require callers to provide the ModuleId and TabId as part of the web request header.  This requirement complicates the programming model since service endpoints become tied to their specific location in a website.  Modules are able to easily retrieve the ModuleId and TabId from the service framework as part of the initial module rendering.  However, this mechanism is not available for remote callers, where the UI rendering is not directly controlled by DNN.    In order to encapsulate this context data and to simplify the programming model for web services, we should introduce the concept of a moniker.  The DNN service moniker will provide a mechanism for mapping a simple name to a specific module instance.  This moniker can then be passed to a web service in place of the ModuleId, TabId or any other context data specific to a module.    The moniker should be implemented as an additional system TabModule setting. By default, the moniker will be composed of the page name, the module definition friendly name and the TabModuleId separated by /.  When composing the default moniker, all spaces should be replaced with dashes.  For example, if the Social Groups module was on the “Community” page with TabModuleId of 100, the default moniker would be “Community/Social-Groups/100”.      The default moniker implementation provides a human friendly method to identify the page and module being addressed and also a unique element to differentiate between multiple modules on the same page.  The core platform should expose a service endpoint that allows an application to query for monikers related to a specific module type that the current user has permissions to view.    When calling service endpoints that need a specific module context, the moniker will be included as part of the service call.  The service can then use the moniker to easily lookup any context for the module instance associated with the moniker.    *Developer Notes:*  The purpose of this step is to help the back-end to create the DNN context for the web API request. Therefore, it is not tied to any authentication mechanism (like JWT, Basic, Forms, etc.)    Injecting the moniker in the query part of the API request requires modifying all existing API’s that need to use this moniker  but is not feasible and requires making changes to existing core (which we want to completely avoid). What we need is a non-invasive method. One way in which this can be implemented is by adding a new vendor specific header in the request as an alternate way to using the {{TabID}} and {{ModuleID}} that are in use today. Assume we are going to use {{X-DNN-MONIKER}} for this purpose. An example of a full header would be:  {{X-DNN-MONIKER: John’s Blog}}    Before being able to use this feature, there is a need for an API that returns the various monikers associated with a specific module. Let’s say in an EVOQ Engage site if we need to find all the monikers that use the discussions module, say discussions (i.e., all tabs/pages that have the discussions module in them), we will send an API request that returns all of these monikers associated with discussion modules placed on various pages. This call may return zero, one, or more monikers.    There must be a consideration for user rights in every data returned from the API; no private data should be revealed to an un-authorized user."""""""	"""there is no need for tabID or moduledefinitionid, both are identified by TabModuleID.  The moniker should be able to identify the module to direct the request to the appropriate module."" [SEP] ""This feature is ready for testing after merging the PR."" [SEP] ""[~accountid:<USER> built a sample mobile app to use this feature. The source code of the mobile app is here: https://github.com/dnnsoftware/Dnn.Platform.Samples.Mobile. There is not much for QA to verify any further. This issue now can be closed."" [SEP] ""Verified in:  * Platform 8.0.0.798  * Content Upgrade from 8.0 to 8.3.0.376  * Engage 8.3.0.376 (clean install and upgrade)    For Engage, API for create comment was tested in Answers module. For Platform, and Content (Upgrade), DAM module's GetFolderContent API was tested."""	0.9899423	
DNN-9633	DNN	Improvement	"""SI: Portal Specific Themes"""	"""""""When creating pages in the Content, Pages area of the new Persona Bar, any site based skins and containers are not visible to work with when in the Advanced, Appearance area. I.E. when you manually create Skins and Containers folders underneath a specific portal/site in a multi site setup that is pre 9.0.0, you can see both the Host and Site based skins and containers to select from, both in the Site Settings area and when editing individual pages in Page Management, which is very nice when you have a large multi site configuration. This is big as it prevents customers from accidentally selecting and/or changing other customers skins and containers (which can go south quick). This area needs to have some sort of a selection tool to choose the Host and Site based skins and containers. """""""	"""I'm not sure about others, but we need to install themes in Admin so only a certain site could access that theme.  However in would always lead to issues.  Someone would install the theme under Admin, forget it was under Admin then install it under Host, then you would get crazy key conflicts in DNN.  To me a better solution would be utilize the """"Premium Module Assignment"""" paradigm in DNN9 for themes.  Keep all themes installed under """"Host"""", then have the ability to specify which Sites can access the theme."" [SEP] ""This feature was dropped in DNN 9.   AFAIK it is still possible to move the skin folder into folder /portals/0-system/skin (or whatever PortalID), but this is not user friendly. However, we should consider deprecating scope determination by folder locations and use same mechanism as for modules: having a skins table and a portalSkins table, where skins are associated with the sites within the DNN installation. This would allow to allow a skin for a group of sites instead of just one or all (or"	0.9898078	
DNN-10053	DNN	Story	"""Allow Module to bump cdv version"""	"""""""We recently ran into a problem where specific module have to create its own version of cdv concept to force a client side refresh of any css and js after upgrading.    In this proposal we should study how to resolve this issue at platform level with the following possible approaches:  # add a new tag in the module manifest a new flag to force cdv increment after module upgrade  ## pro: we reuse the same cdv mechanism provided in the platform  ## cons: we are refreshing the entire static assets cache of the site just for a specific module  NOTE: we should ensure adding a new tag in the manifest will be backward compatible if module vendor want to allow its module to install in previous platform version. In those the tag will be just ingnored.  # consider the creation of a new mechanism at module level (i.e. mcdv) provided by the platform that will automatically append this new parameter and force specific module assets client cache invalidation  ## pro: we will refresh only the module specific assets (not the entire site)  ## cons: if modules are using the same js/css we are forcing the client to down it twice    We will need to consider the two solutions."""""""	"""Hi [~accountid:<USER>, [~accountid:<USER> ask me to provide your input in the issue above. Please let me know if you have any questions or concerns. and add here below your suggestions and thoughts."" [SEP] ""Hi [~accountid:<USER>, I prefer to solution #1, as when app did upgrade, we want the client refresh evetything.    for #2, if the module reference to some shared component, like jquery, there may have issues to set the module level cdv info with it.    thx,"" [SEP] ""Ok, sounds good to me, we can go with option #1."" [SEP] ""Hi [~accountid:<USER>, after starting work on this item and research in the codebase, i found this logic already implemented in platform, when you upgrade a module, the crm version will increment:   !20170801105746.png!    !20170801105810.png!     can you please have a look? thx"" [SEP] ""Hi [~accountid:<USER>, does this code run only for CMS upgrade and/or also for single extension install? The scenario we want to cover here is the second one, when you install a single package from Persona"	0.9895381	
DNN-8413	DNN	Improvement	"""The Footer of the default skin is not at the bottom of the page"""	"""""""When I add a new page the footer is way above the bottom of the page and it's at an odd location. I added a one line content using the HTML module and it's still the same issue."""""""	"""This is just the sample design; it can be customized to anyones needs. "" [SEP] ""Users who do not know css/html won't be able to customize it themselves. What do you mean sample design? It's the default skin which some users might use in their sites. It should have been done right in the first place. A footer is always at the bottom."" [SEP] ""I am not sure which product or version you are using but in the Xcillion theme (the default theme in Platform 8) there are multiple footer sections; all of which are at the bottom of the design (where one would expect the footer to be). In the commercial Evoq products, which use the Cavalier theme, there is one footer pane and it is also at the bottom of the design. """	0.98917633	
DNN-9437	DNN	Story	"""ADA - High Contrast Persona Bar theme"""	"""""""As a Persona Bar user, with accessibility needs, I need to navigate around the Persona Bar menus using a high-contrast version of the persona bar.     It is uderstood that the https://www.npmjs.com/package/postcss-high-contrast is not useful at this time. Design is currently working on a 7:1 high-contrast color palette. There will also be a small UI element on the user profile to enable high-contrast mode. Evoq should save preferences for every user who enables high-contrast mode and load it each time the user logs in.     Additionally, design queues may be taken from MS Teams. See screenshot.    ********    Design Notes:  1. The theme must meet WCAG 2.0 """"""""AAA"""""""" standard, which is sufficient contrast to be legible by people with 20/80 vision   Reference: https://www.w3.org/TR/UNDERSTANDING-WCAG20/visual-audio-contrast-contrast.html"""""""	"""Questions:  1. how to enable the high-contrast css?   2. need design for the high-contrast theme."" [SEP] ""[~accountid:<USER> - let's get a mockup for the high-contrast selector in the story and add the high-contrast update to the style guide."" [SEP] ""[~accountid:<USER> wants to know if it's possible to leverage this PostCSS plugin in PB. Already asked [~accountid:<USER> to do some tests."" [SEP] ""[~accountid:<USER> :  Here are mockups showing a persona bar flyout, at the User Avatar, with a switch to change to the high contrast theme, as well as a link to the User's Member Profile page.  When the user toggles to turn the High Contrast Theme ON, the page should automatically become inverted and look like in the high contrast mockup.  Please take a look and let me know what you think.    If this looks good to you, I will provide a style guide with the correct HEX values for colors, etc.    !Standard Theme with Flyout.png|thumbnail! !High Contrast Theme.png|thumbnail!    """	0.98876476	
DNN-9228	DNN	Improvement	"""Ability to upload or copy-paste a manifest to create a module"""	"""""""For developers it's important to be able to hook up a new module in development as quickly and painlessly as possible. Once familiar with DNN we know how to create a manifest. Currently the only way to create a module from a manifest is through a convoluted way to load it from disk. This process is unnecessarily complex and rigid (it needed to be adapted to cater for MVC modules and now the Personabar modules would need yet another change). I propose to offer either a simple file upload or a text area to paste/test the manifest. IMHO we can even simply replace the current solution with this."""""""		0.98846966	
DNN-8685	DNN	Improvement	"""SI: Add Security Roles / Permissions Per Panel"""	"""""""It has been suggested by a customer that we add the ability to add security roles and set permissions on individual panes in a page."""""""	"""Hi Shawn, I can understand how this would be helpful to the customer in this case.  We are thinking we might like to reevaluate the way that permissions is done, but right now, I dont envision us doing something like this in near future.  This would take a considerable amount of work and would fundamentally change the way we managed permissions.  This would cause breaking changes and a lot of disruptions, and really harm performance and speed for all customers.  Since there is a third party that can deliver similar functionality, and I dont know if we can respond to this request - I am going to close this issue as """"won't fix."""" """	0.9881202	
DNN-10116	DNN	Improvement	"""Modify IConnector interface in order to get more info regarding settings, like Secure settings"""	"""""""Modify IConnector interface in order to get more info regarding settings, like Secure settings  After fixing issue SOCIAL-4532, we have introduce a way to setup Secure settings and allow UI to draw passowrd-type input.  However, this approach requires that developers must know that the UI is using a default setting since current implementation only is able to get the value of each setting    We should modify the IConnector interface to expose a method that gets more info regarding each setting such as Secure. and simplify the creation and maintenance of Connectors."""""""	"""IMO we doesn't need modify the IConnector interface in general, the UI are controlled by each connector them-self.    one solution on this requirement is in GetConfig, we can set the value to be: """"{value:***, type: ***}"""" in GetConfig method. and parse the JSON data in the connector implemention, also bind the control as needed.    send to [~accountid:<USER> for confirm."" [SEP] ""Agreed, no work needed at the moment. We may revisit this later. We need to close it as won't fix for now."" [SEP] ""Based on above comments , this JIRA will be closed, no changes implemented"""	0.9881009	
DNN-7458	DNN	Improvement	"""Improve performance of Type Scanning"""	"""""""Some features require all the types to be scanned on startup, in order to determine if a type implements a specific interface.  This is currently done for Service Route Mapping and the Module Injection filters.    While removing unnecessary assemblies from the bin will improve this, there are a number of necessary assemblies (that we can't remove) that we know do not have any types.    Examples are the Telerik assemblies and the Microsoft assemblies.    We should therefore optimize the scanning of the assemblies so that these are explicitly ignored.    Secondly, we scan the types independently for each interface check - it might be possible to optimize this and scan once for both interfaces.  """""""	"""I did some modifications to the AssemblyLocator class to improve the Type Scanning logic.    Currently this class returns """"ALL"""" assemblies and in my default install this consumed nearly 10% of the first page cost, as it returned 242 (121 x 2 executions) assemblies which caused 88,000 types to be scanned.     I modified the scan by eliminating known assemblies in two ways -   # if the assembly starts with Microsoft, System, Telerik or other common known namesapces it was ignored.  # if the assembly was a specific known assembly that had no Service Routes or Module Injection types it was ignored    This reduced the number of assemblies scanned to 80 (2 x 40) and the number of types scanned to just under 14,000, thus reducing the cost to 0.34% of the first page."" [SEP] ""Cherry-picked code to a new branch (bug/dnn-7458) based on latest development branch, and submitted as a new PR, which was merged into the latest development.    https://github.com/dnnsoftware/Dnn.Platform/pull/851    "" [SEP] ""What QA should t"	0.9873695	
DNN-10211	DNN	Improvement	"""JWT Register Users"""	"""""""Today, its critical to use mobile in communicating with external stakeholders. With JWT we can login. However, there is no REGISTER endpoint. We need to register stokeholders using an IOS or Android app easily. The code for registering a user is already in project PB Library. So I think its a relatively quick but import addition for all the DNN users. Also, <USER>has code, albeit not really production ready, in his project 'DnnUserAccess-Mobile' (https://github.com/DNN-Connect/DnnUserAccess-Mobile)."""""""	"""I think the issue is important. Furthermore, what is needed is an admin flag in PB, hostsetting (host level) OR portalsetting (portal level) db, I think, indicating whether registering is allowed or not."""	0.9868895	
DNN-10090	DNN	Story	"""Portal / Host Theme Selector"""	"""""""Per DNN-10059, we now allow users to upload portal-specific themes to the site, but we still don't differentiate on which themes are portal-specific or global.    This story is to introduce a UI update into Themes which will differentiate global vs. portal themes.    ***********  Design Notes:  1. Add headings for """"""""GLOBAL THEMES"""""""" and """"""""SITE THEMES"""""""" as shown in the mockup, with a line separator as shown.    2. Add a dropdown filter, visible to both Host and Admin users. By default it should show All Themes, but they can choose to view Global Themes or Site Themes. Site owners (admins) should see all global themes and the portal-specific themes for only their portal. If either Global-only or Portal-only themes are selected to be displayed: the label, themes, and line separator are hidden, and should only see that section header.    3. One other clean up item on this page:  In the implementation, of the Selected Theme Panel at the top, it is the wrong color.  It should be WHITE #FFFFFF, but it is currently showing up as ALABASTER"""""""	"""I still vote for a bigger change: keep all skins and containers in a central place like modules (you could still use /portals/_default/skin and /portals/_default/container). Like for modules, use a database table to restrict availability to specific portals within the application. This would be more consistent and easier to handle - and superusers may provide same skin to a couple of sites (but not all), without being forced to copy the source files.    There is a challenge to implement the upgrade, i.e. copying the portal skins and containers to the central location (using skinname-[portalid]) and adding the skins to new portalskins table."" [SEP] ""[~accountid:<USER>, your point is well-taken, but it's not in scope at the moment. "" [SEP] ""[~accountid:<USER>, thanks for the feedback!"" [SEP] ""[~accountid:<USER> : Here's the no data state mock, and the image assets... Note that if filtering for say """"Site Themes"""", the """"Global Themes"""" section heading should disappear.     !03_Filtered for Site Themes Only.png"	0.9868053	
DNN-7361	DNN	Improvement	"""upgrade 51 degrees to 3.2.3.2"""	"""""""From Pull Request: https://github.com/dnnsoftware/Dnn.Platform/pull/621    •We have performed load testing and published the results: https://51degrees.com/blog/ArtMID/1641/ArticleID/368/Memory-and-Performance-Impact-of-51Degrees   •We have added multiple unit tests: https://github.com/51Degrees/.NET-Device-Detection/tree/master/UnitTests   •We have been running the updated version of the DLL on our own website (also powered by DNN) for quite some time now.    The design focus of the release is to integrate DNN efficiently with 51Degrees. Improvements include reducing memory consumption when the data file used directly from the disk, and to make use of 51Degrees performance improvements.    List of changes:  •When device detection is disabled the Client Capabilities Provider no longer forces it to start.  •All possible properties and values are no longer stored in a SortedList. Only required properties and values are loaded when needed and cached.  •Embedded data has been removed from the assembly and now must be provided from the App_Data folder.  •.NET 3.5 is no longer supported in order to use memory mapped files and simplify overriding default browser capabilities.  •In stream mode entity data properties that can allocate large arrays only initialise these arrays when needed.  •Caches used with stream operation are now fixed memory size and serviced via the thread pool.  •Automatic update processes uses temporary files rather than main memory to verify integrity of updated files prior to using them.  •Temporary files are now created in the App_Data/51Degrees folder of the web application rather than a UNC path or the master data file folder.  •Values associated with Profiles are now retrieved using a more efficient algorithm.  •DataSet.Properties collection now has a string accesser to make retrieving properties by name simpler.  •Memory mode no longer initialises the entire dataset. Startup time is now significantly improved.  •Memory mode uses less memory than prior versions.  •Supports 51Degrees V3.2 data format using approximately 25% smaller file sizes.  """""""	"""backported to 7.4.2"" [SEP] ""additional changes checked in directly to fix time-sensitive build issue:  1. update 51degrees test project to use v32 version of 51degrees dat file, and 3.2.3.2 version of dll    2. commented out test that was failed where TC did not respect the ignore directive.    3. removed  FiftyOneClientCapabilityProvider_GetClientCapabilityById_ThrowsException_For_NonExisting_ClientCapabilityId test from test project (as 51degrees logic no longer returns an exception but returns the useragent - this is necessary to support disabling 51degrees without breaking 3rd party integrations)    Note: these were all done in https://dnntracker.atlassian.net/browse/DNN-7433 and then cherrypicked over to the development branch to ensure they were in 8.0.0"" [SEP] ""Also removed FiftyOne.Foundation.dll from Evoq's repository. This was a copy of the same DLL checked-in into Evoq as was in Platform. Now Evoq simply points to file from Platform. "" [SEP] ""I profiled the memory use of 51D in both {{Platform 8."	0.9866948	
