issue_key	project	issue_type	summary	description	comments	design_prob	Label
TIMOB-27072	TIMOB	New Feature	"""When using Alloy Data Binding, allow the dataCollection to be set in the controller"""	"""""""In our application we have a composite view that shares models/collections across many sub views.  We also like to utilize data binding wherever possible, however this presents a bit of a challenge.  We can only bind to Collections and Models defined in the XML markup, and we cannot replace those Collections/Models with shared references across each sub controller.  It appears today our only option is to use a singleton Collection/Model which is not ideal if you need multiple instances of Collections/Models to be accessed across multiple view bindings.  If setting the Collection/Model inside the sub controller is not an option perhaps we could introduce a method of passing a reference to the Collection/Model in the createController statement."""""""	"""Hello, can you share some native guide or docs link on how this is handled natively? or a similar native equivalent of the Alloy data building in the native environment. Thanks."""	0.9928445	
TIMOB-27555	TIMOB	Story	"""Allow PRs to be tagged with label to enable more exhaustive testing"""	"""""""We should enable a way to flag specific PRs so that more exhaustive testing is performed.    We have been playing with changing deploy types used by the test suite, as well as adding iPad Simulator recently. But we haven't formalized what exact matrix of testing should occur regularly on PRs or master.    We run tests on 3 android devices on master builds. We have no iOS devices running on any build nodes.    Specifically, we should be able to add a tag to our Github PRs that should allow them to be tested on devices in addition to our typical simulator/emulator testing. That way we can flag only very specific PRs that we think may touch something like encryption, or may be a high impact change to do more extensive testing without necessarily having every single PR go through it.  """""""		0.99218655	
TIMOB-25962	TIMOB	Improvement	"""Android: Ti.App.resume and Ti.App.pause Addition - Google has added Lifecycle Components (LifecycleOwner) specifically for this"""	"""""""This is a Feature request to add Ti.App.resume and Ti.App.pause event to Android.    Google recently added [Lifecycle Components|https://developer.android.com/topic/libraries/architecture/lifecycle.html] and more specifically [LifecycleOwner|https://developer.android.com/reference/android/arch/lifecycle/LifecycleOwner.html] that has been designed specifically for this.    From the Lifecycle Owner Docs:   """"""""A class that has an Android lifecycle. These events can be used by custom components to handle lifecycle changes without implementing any code inside the Activity or the Fragment.""""""""    There is also a very good Blog post with examples and exactly what is needed here:  https://proandroiddev.com/detecting-when-an-android-app-backgrounds-in-2018-4b5a94977d5c    It would be great if we could add this to the core to finally have Ti.App.resume and Ti.App.pause events and not have to count on all kinds of hacks, tools, modules etc.    I will be working on getting this setup in my test project with Hyperloop and report back with a working example."""""""	"""The actual Class Google has created for this is [ProcessLifecycleOwner|https://developer.android.com/reference/android/arch/lifecycle/ProcessLifecycleOwner.html]    From the Docs:  Class that provides lifecycle for the whole application <USER>    """"You can consider this LifecycleOwner as the composite of all of your Activities, except that ON_CREATE will be dispatched once and ON_DESTROY will never be dispatched. Other lifecycle events will be dispatched with following rules: ProcessLifecycleOwner will dispatch ON_START, ON_RESUME events, as a first activity moves through these events. ON_PAUSE, ON_STOP, events will be dispatched with a delay after a last activity passed through them. This delay is long enough to guarantee that ProcessLifecycleOwner won't send any events if activities are destroyed and recreated due to a configuration change.    {color:#14892c}*It is useful for use cases where you would like to react on your app coming to the foreground or going to the background and you don't need a millise"	0.99130577	
TIMOB-27457	TIMOB	Story	"""Clarification on Titanium bootstrap files"""	"""""""We would like to request a clarification on how the 7.5.0+ bootstrap concept (ti.main.js but also Node polyfills like fs) influence the boot time and build size. We feel like recent changes to support more Node.js modules was done for the cost of size and boot performance. A developer should be able to opt in or at least opt out to these changes to keep apps slim.    What'd be especially interesting are the benchmarking of booting in < 7.5.0, 7.5.0 and 8.3.0 as well as the resulting build size in production. Performance in cross platform frameworks is a big decision point these days, so I hope this can be taken seriously. Thank you!"""""""		0.99073243	
TIMOB-26570	TIMOB	Epic	"""Node compatibility and developer experience"""	"""""""It's pretty clear that Node.js is the dominant JavaScript engine/experience for developers, and there's a huge ecosystem of npm packages to use.    We should allow our developers to leverage all that code, as well as the package management and tooling."""""""	"""People have tried to hack around this for years, and here's the most popular means of doing so: https://github.com/smclab/titaniumifier"" [SEP] ""Creator and (once upon a time) maintainer of titaniumifier here.    We at SMC are still very willing to share details on expected developer experience and integration implementation.    Just small food for thoughts: *Node.js compatibility is a lower priority than access to npm/Yarn distribution <USER>and ecosystem.* Technically Titanium SDK should support just the bare minimum… the problem is that you accumulated a little bit of delay and alternative platforms have a strong story on this already.    Also you should also get rid of all inconsistencies in “almost, but not quite, entirely unlike”-Web APIs (I’m looking at you {{Ti.Network.HTTPClient}}) or provide new entry points that either act correctly (such as {{XMLHTTPRequest}}) or are implemented through Node.js APIs ({{require('http')}}).    Another crucial thing would be to contribute implementation to _d"	0.99061126	
TIMOB-24556	TIMOB	Improvement	"""Allow environment specific settings for tiapp.xml"""	"""""""Use cases:  - defining a different name for the development build of your app  - Having a custom property in tiapp.xml (like """"""""gcm.senderid"""""""" for https://github.com/caffeinalab/ti.goosh) with different values for development vs production  - Basically any property in tiapp.xml that should have a different value in production versus development or test    This improvement is directly related to https://jira.<USER>org/browse/TIMOB-24162.    Developers are currently limited to 3 environments which is development, test and production. Each of these environments seem to come with custom restrictions, for instance you cant seem to build a """"""""production"""""""" environment on an Android Emulator (http://docs.<USER>com/platform/latest/#!/guide/Titanium_Command-Line_Interface_Reference).    One way to make this work, is a single *config/tiapp/* directory which hold files including `production.xml`, `development.xml`, `any_environment_you_need.xml` which extend of the base config file *tiapp.xml*. When compiling the app, the given *--deploy-type* should then select the correct file and put it on top of *tiapp.xml*."""""""	"""Moving to engineer for consideration. "" [SEP] ""This is definitely valid and is most closely a duplicate of TIMOB-16869."""	0.9901243	
TIMOB-24975	TIMOB	Improvement	"""Windows: SearchBar should show No Results text if there are no results in a search """	"""""""According to the UWP Design and Pattern guidelines for AutoSuggestBox, when there are no results shown there should be a single result shown saying 'No Results' (or something similar), currently we do not display anything, while that behaviour is different to our Android implementation (not sure on iOS), we should adhere to the platforms guidelines    https://docs.microsoft.com/en-us/windows/uwp/controls-and-patterns/auto-suggest-box (see Do's and Don'ts)    """""""	"""I think there are two different paths to this that we need to consider    * Developer has the SearchBar tied to a TableView or ListView and user submits the query  **  We need to append a row that lists {{No Results for <search>}} or {{No Results}} (see the app search on Windows 10 Mobile for this) - maybe this is tied to whether they use   * User is searching in the SearchBar for something with no results  **  We need to display {{No Results for <search>}} or {{No Results}} in the SearchBar results section (see the search in the Settings app on desktop or mobile)"" [SEP] ""It also just occurred to me that if we do this in source ourselves it would more than likely be completely lacking support i18n, maybe we could add a Windows only property (and i18n property) to allow a user specify the text to be shown to a user when there are no results from the search?"" [SEP] ""https://github.com/<USER>titanium_mobile_windows/pull/1081"" [SEP] ""Passed FR! Using this environment:  Node Version: 8.9.1  NPM Version: 5.5.1  Wi"	0.9901128	
TIMOB-25480	TIMOB	Improvement	"""Android: elevation property should accept dp units"""	"""""""Right now we can only use pixels when setting the elevation property on components like views or buttons.    When consulting Material Design guidelines, you find that elevation is always specified in dp units:   [Material Design– Elevation & shadows|https://material.io/guidelines/material-design/elevation-shadows.html]  """""""	"""Hello, thanks for the ticket. Please share some native docs on this. Our engineers will consider it. They will let you know if and when they will work on this for future version release. "" [SEP] ""https://material.io/guidelines/material-design/elevation-shadows.html  https://developer.android.com/training/material/shadows-clipping.html  """	0.98979	
TIMOB-26825	TIMOB	New Feature	"""Android: Add AppBarLayout support"""	"""""""*Summary:*  Android supports an [AppBarLayout|https://developer.android.com/reference/android/support/design/widget/AppBarLayout] feature which allows the top toolbar/titlebar to hidden when scrolling up and to be stretched to reveal more content when scrolling down. This is part of Google's material design and examples of this can be seen below.  https://material.io/design/components/app-bars-top.html#behavior    *Implementation Notes:*  This is not a trivial feature to implement. It involves putting our {{Toolbar}} within an {{AppBarLayout}} (that part is simple enough), but the {{AppBarLayout}} must be a direct descendent of a {{CoordinatorLayout}} in order for the nested scrolling to hide/show/stretch the {{AppBarLayout}}. So, this means modifying Titanium's {{TiCompositeLayout}} to either inherit from {{CompositeLayout}} or replicate its features... and this is the troublesome part.    Or perhaps our implementation of this feature should be our Titanium view container for the whole thing ({{CompositeLayout}} with a built-in {{AppBarLayout}} and {{Toolbar}}) and the developer would then add a {{ScrollView}}, {{TableView}}, or {{ListView}} as a child to this container. This way we wouldn't have to muck with our {{TiCompositeLayout}} code at all since any change in that class is high-risk and affects everything else.    *Hyperloop:*  There is currently an example on how to do this via hyperloop below. This can be used until Titanium has official support.  https://github.com/m1ga/hyperloop.collapsingToolbarLayout  """""""		0.98968226	
TIMOB-26332	TIMOB	New Feature	"""iOS/Android: Create executable native test project for native modules"""	"""""""Right now, native module development is kind of stressful. We generate native projects that can be ran in Xcode (iOS) and Android Studio, but module developers still need to create a test project themself, build it once, go to the build directory and open the native project, link the module target to it, copy the app.js from the test project to it, swap the module from before with the dynamically generated one and finally hope that everything goes well. This developer experience is *horrible*; and it could be resolved quite easily. We only need to change our module project template to also include a test-target, which could be as simple as referencing the example/app.js by default.    For iOS, we could create a workspace that has a test project and the main module target.  For Android, I don't know how Android Studio links targets, but we could eventually create another target there as well, which can be ran from directly from Android Studio, similar to the """"""""TitaniumTest"""""""" project to test the core-SDK."""""""		0.9890647	
