project	issue_key	issue_type	summary	description	label
FAB	FAB-18127	Task	Integration tests join channel with join-block as follower, then add to consenters set	"Join application channel with join-block as follower.    Define a 3 node raft cluster without a system channel. Join 2 of these to the channel. Submit a few transactions for the  ledger height to be >>1. Submit a config TX (change something other than consensus related stuff) so that the last config will be number > 0.    Start the 3rd node w/o channels. Get the last config block  from one of the 2 active cluster nodes and join the channel on the 3rd node.    Check that the 3rd node pulls all the blocks.    Check the cluster-relation (=follower) and status for the transition (onboarding->active).    Submit some transactions to verify the 3rd pulls blocks.    Submit a config TX that adds the 3rd node to the consenters set.    Submit a few TXs to the 4th to verify it mutated into an etcdraft.Chain. "	Not Design
FAB	FAB-18230	Task	Investigate (and clean up/refactor, if necessary) orderer start sequence after removing system channel	"Investigate the orderer start sequence considering the scenario where the system channel has been removed from an existing network.   * Do we have to set bootstrap method to none in the orderer config for these existing networks? (The obvious thing is that it will log at the info level   [""Not bootstrapping the system channel because of existing channels""|https://github.com/hyperledger/fabric/blob/master/orderer/common/server/main.go#L128] ).  * Does the bootstrap block need to be set to """" for this scenario?  * Consider doc update related to bootstrap method and bootstrap block config options after removing system channel."	Not Design
DNN	DNN-10723	Improvement	SI: Messaging Dispatch: Pass Portal Admin's Display Name along with email address	"Currently whenever a message/notification is sent through the messaging dispatch, the from address is only composed of the portal e-mail address, while the sender address is a mix of the ""Display Name"" of the user who triggered the notification/message + the portal e-mail address.     This results on some confusing names for e-mails coming from the website since password resets and other tasks will have the Portal administrator's display name + portal's email in the from address so the proper name is displayed on the headers; while on the other e-mails only the e-mail address for the Portal is displayed.    To reproduce:    1. Request a password reset and look at the e-mail headers. From / Sender - both of these will have name + e-mail.    2. Trigger a notification message and review the headers. From only has the e-mail, while sender has both the name + e-mail."	Design
SERVER	SERVER-51770	Improvement	"generalize errnoWithDescription to handle <system_error> categories"	"""(split from SERVER-41353)    Errors from different number spaces are being conflated and misreported. Fortunately C\+\+11 has a solution to this problem. We should be using {{<system_error>}} to propagate error *categories* when we capture {{errno}}-style results into C++ with type safety.    This should be a simple but repetitive change affecting places where we encounter system API errors and try to log them.    Then something like errnoWithDescription (which would be renamed) can be assured to give correct results. Windows has POSIX errno AND it also has its own number spaces like the GetLastError DWORD errors. Other APIs in Linux and Windows will introduce their own number spaces, asio, libresolv, openssl, even mongodb itself.    SERVER-41353 would introduce a wrapper to capture the code properly with number-space to associate the integer with a category context when it is captured.    I'm not sure if this ticket and SERVER-41353 can be done separately. SERVER-41353 is more about the immediacy of copying errno/GetLastError before logging statements begin. This one, maybe as follow-up work, or maybe simultaneously, would be more about making sure the captured integers are interpreted properly. It's more about the implementation of errnoWithDescription, and renaming it."""	Design
FAB	FAB-18258	Bug	missing command in step1org3.sh	"I found the function createUpdateConfig in https://github.com/hyperledger/fabric-samples/blob/master/test-network/scripts/org3-scripts/step1org3.sh misses the command:    jq -s '.[0] * {""channel_group"":{""groups"":{""Application"":{""groups"": {""Org3MSP"":.[1]}}}}}' config.json ./organizations/peerOrganizations/org3.example.com/org3.json > modified_config.json  "	Not Design
MULE	MULE-14661	Enhancement Request	Archetype not using connector name in the generated packages	"Archetype not using connector name in the generated packages.    today is generating this `org.mule.extension.internal` and it should be something  like this `org.mule.extension.<nombredelconector>.internal`    :B"	Design
DM	DM-27262	Story	Fix temporary fix to ProcessBrightStarsTask and use gen3 Gaia refcat	"ProcessBrightStarsTask relies on the Gaia refcat to select and extract bright stars from single visit calibrated exposures.    At present, when running in gen3, the Task uses a workaround that relies on a gen2 Butler to obtain the ReferenceObjectLoader.    Once the Gaia refcat (or any subset thereof) is available in gen3, remove this workaround and load it directly in gen3."	Not Design
CONFSERVER	CONFSERVER-60281	Bug	Team Calendar showing wrong start time after daylight savings change on Nov 1	"h3. Problem  When setting up an event from a Jira Issue during the period of 24 hours from Nov 1st, 2 AM to Nov 2nd, 2 AM, the event goes back 1 hour on Team Calendars.  Customers cannot plan in advance during that day because of this issue.  Timezones: CST/EST    h3. Environment  Team Calendar 6.053  Confluence 7.4  Jira 8.8    h3. Steps to Reproduce  * We scheduled a new event starting at 1 AM on Nov 1st.  ** Confluence adds an event at 1 AM on Nov 1st.  * We scheduled a new event starting at 3 AM on Nov 1st.  ** Confluence adds an event at 2 AM on Nov 1st.  * We scheduled a new event starting at 2 AM on Nov 2nd.  ** Confluence adds an event at 1 AM on Nov 2nd.  * We scheduled a new event starting at 5 PM on Nov 1st.  ** Confluence adds an event at 4 PM on Nov 1st.  * Jira issue is being triggered by the Date format: 11/1/2020 03:00 AMERICAS\New_York    h3. Expected Results  Team Calendars show the correct time when they were created    h3. Actual Results  During that 24 hour period, the event goes back 1 hour    h3. Workaround  No workarounds so far.    h3. Notes  [CSP-279832|https://getsupport.<USER>browse/CSP-279832]"	Not Design
CONFSERVER	CONFSERVER-60330	Suggestion	Remove a custom macro in bulk and ensure the text stays on	"h3. Problem  Confluence holds a lot of Spaces and Pages. Inside them, here is an old macro that they do not want to use any longer. Confluence does not allow a way to remove a macro for all pages at once.     h3. Suggested Solution  Add a feature that you can select a Macro and Pages to remove them in bulk. Opting to leave the content on or not.    h3. Why This Is Important  This is a lot of manual work, as Space admins must go page by page and remove them manually.    h3. Workaround  Manual work."	Design
DNN	DNN-10773	Bug	Themes: Applying the InspireSkin to a newly created page throws the inner exception to the page & applying it for the whole site causes the Edit profile page to throw exception	"*+Steps:+*  # Login to DNN_Platform_9.2.0.348-740 as host.  #  From PB, go to settings>Extensions.  # Try to install this skin: InspireSkin.  # Go to pages, create new page and from the advanced> appearance tab make it having the inspire skin.  # Save the page.  # *Result:* >>>>>>>>>> Notice the exception in the page.  # From PB, go to Manage> Themes.  # Select the Inspire skin and click the apply icon on it to apply it for the whole site.  # Click on the user name ""SuperUser"" to get the Activity pages.  # Click on messages link.  # Click on Edit profile button.  #* Result:* >>>>>>>>>> You'll get exception in the page  # Go to DB and check moduleDefinition and modules tables  # *Result: * >>>>>>>> No entries for a new module matching the new installed skin. -- Not sure if there should be but Porto & Dixit skins, the functioning ones, have it.  Snapshots and log attached.  *Note*: that after you apply the theme for the whole site the exception in the page will no longer appear.      *+Expected:+*  - Exceptions should be fixed.  - Please, confirm if DB is an issue that needs fix or not    Exist on platform 9.1.1.129   !image-2018-02-20-11-11-15-172.png|thumbnail!    !image-2018-02-20-11-11-24-062.png|thumbnail!    [^2018.02.20.log.resources-InspireSkin]     Central Jira Link: https://jira.devfactory.com/browse/DNN-17033"	Not Design
