project,issue_key,issue_type,label,prob_design,threshold,pred,val_project,summary,description,gold_label,error_type,margin,error_category,notes
CONFSERVER,CONFSERVER-60410,Suggestion,1,0.033146,0.5,0,MESOS,Scroll to other author's position,"""When multiple editors are in confluence, it is difficult to find the area that others are editing. Clicking on the users icon should automatically scroll to that person's cursor position. Other online editing tools support this feature.""",design,FN,0.466854,LABEL_AMBIGUOUS,
CONFSERVER,CONFSERVER-60272,Suggestion,1,0.065455,0.5,0,MESOS,Enable comments while in edit mode,"""When in edit mode, it is not possible to open a file oder image in the file/image viewer. Therefore one cannot make any comments in images while in edit mode. Also, it is not possible to make inline text comments.    It would be very helpful to make comments - especially in images - while in edit mode. Now I have to switch to the view mode of the page before making any comments.""",design,FN,0.434545,LABEL_AMBIGUOUS,
CONFSERVER,CONFSERVER-60269,Suggestion,1,0.0291,0.5,0,MESOS,Display Audit log in user profile language,"""h3. Issue Summary  Audit log uses default language settings instead of user profile language    h3. Steps to Reproduce  # Use confluence administrator account to login  # Change default system language to non-English language setting for example German or Russian  # Change user profile language to English  # Access audit log    h3. Expected Results  Audit log records are displayed using user (admin) profile language    h3. Actual Results  Default language is being used    h3. Workaround     Currently there is no known workaround for this behavior. A workaround will be added here when available""",design,FN,0.4709,LABEL_AMBIGUOUS,
CONFSERVER,CONFSERVER-60273,Suggestion,1,0.305645,0.5,0,MESOS,Companion should have an option to disable running local websocket server,"""Companion should have a config or install option to disable backwards compatible code paths. In particular, if users are using Confluence 7.3 + then they do not require Companion to start a local websocket server.""",design,FN,0.194355,IMPLICIT_DESIGN,
CONFSERVER,CONFSERVER-60245,Suggestion,1,0.127986,0.5,0,MESOS,Increase 25mb space/site file import limit,"""Currently Confluence allows space/site file imports from the Confluence administration panel up to 25mb - please  increase this size value to higher number (or allow custom setup)""",design,FN,0.372014,LABEL_AMBIGUOUS,
CONFSERVER,CONFSERVER-59803,Suggestion,1,0.141316,0.5,0,MESOS,Deleting a Page with Rest API issue,"""While deleting a page using API, there are no entries for the deletion in the Auditrecord table. Also there is no entry in the Audit logs in UI. However if you delete a page via UI , entries are there.  h3. How to replicate:   # Step1   ## Delete a page from Confluence UI.   ## Entry will be there in Audit logs as well as Auditrecord table.   # Step2   ## Delete a page using API command    ## No entries in Audit logs on UI as well as DB table.   ## Only the atlassian-confluence.log file will have entries for delete operation.    Expected Result:    Delete via API should also be captured in UI Audit and DB.""",design,FN,0.358684,IMPLICIT_DESIGN,
CONFSERVER,CONFSERVER-60258,Suggestion,1,0.364627,0.5,0,MESOS,As a Confluence user I'd like to have a popup message for export control considerations before every attachment/file upload,"""h3. Problem Definition      As a Confluence user, I want to be able to have a popup message displayed when a new file is uploaded for export control considerations, and currently, we don't have that option.    h3. Suggested Solution    The Popup box should display """"Have you checked with the content owner to ensure the export markings are current and accurate?""""    With """"Yes"""" and """"No"""" options    If the user selects """"Yes"""" the upload is allowed to proceed.  If the user selects """"No"""" the upload is denied    h3. Why this is important    This is important so we can ensure accountability for export markings.    h3. Workaround    n/a  """,design,FN,0.135373,LABEL_AMBIGUOUS,
CONFSERVER,CONFSERVER-60340,Suggestion,0,0.569886,0.5,1,MESOS,Spam Control for Password Reset email,"""h3. Problem Definition  When Confluence is configured with a mail server, Confluence users are able to request for a Password Reset email from the login page by entering a valid username or email address after clicking on the """"Forgot your password?"""" link.   !login screenshot.png|thumbnail!       However, there is no spam control to this action as the user can click the """"Send it to me"""" button multiple times without any cooldown or verification which in a way can cause a burden to either Confluence or the mail server.   !send link screenshot.png|thumbnail!     h3. Suggested Solution  Implementation of spam control such as CAPTCHA when a continuous attempt to request the password reset email is detected.""",non-design,FP,0.069886,DESIGN_VOCAB_IMPL,
CONFSERVER,CONFSERVER-60331,Suggestion,0,0.507441,0.5,1,MESOS,Configurable Redirect,"""It would be good to configurate where to be redirected after cancle a site-creation.         Currently you will be redirected to [https://myconfluence.com/dashboard.action#recently-worked.] I would like to configure, that I jump back to the site, where I started to create that site.                         """,non-design,FP,0.007441,SPARSE_TEXT,
CONFSERVER,CONFSERVER-60295,Suggestion,0,0.88142,0.5,1,MESOS,Better to add grid type of field in Jira instead of using third party plugins like idalko grid editor,"""As of now, we are using idalko grid editor plugin for grid type of fields and facing some report issue. Whereas if there is grid type of field in Jira , then there might not be a report values issue.""",non-design,FP,0.38142,PROJECT_JARGON,
CONFSERVER,CONFSERVER-60268,Suggestion,0,0.924507,0.5,1,MESOS,Companion app - document edit resuming,"""Looking for files in the .atlassian-companion when files cannot be uploaded (lost connection, closed browser window, Word crashed, <USER> is not something a regular user would do. This is to complicated.    reference:    [https://confluence.<USER>confkb/how-to-access-confluence-files-edited-with-the-atlassian-companion-app-955178822.html]    The Companion app should know where the last version of the file was closed and if it should resume editing of that file next time the user wants to edit it.     Or even better, auto upload regularly (autosafe) to the Confluence page. One could then be asked to either open the autosaved version, the one on your computer (if the same user) or the latest uploaded. """,non-design,FP,0.4245069999999999,DESIGN_VOCAB_IMPL,
CONFSERVER,CONFSERVER-60346,Suggestion,0,0.623648,0.5,1,MESOS,Comment History,"""It would be good if there was the possibility to have an editing history for comments. When it was changed by whom and you can still see the old text about it.  Unfortunately the permissions are such that space administrators can always edit comments. But the changes are not traceable, which can lead to misuse of the function.""",non-design,FP,0.1236479999999999,DESIGN_VOCAB_IMPL,
CONFSERVER,CONFSERVER-60276,Suggestion,0,0.56802,0.5,1,MESOS,"Math Symbols were available before for free, but now it asks me to pay for plugin. Why?","""I used math symbols in one of my confluence pages some time back. But all of a sudden I do not see an option to add those in my current pages. When I google there are suggestions to add plugins <USER> Why is that? Why should I buy stuff now that was available before? I am not happy with that.""",non-design,FP,0.0680199999999999,PROJECT_JARGON,
CONFSERVER,CONFSERVER-60305,Suggestion,0,0.90238,0.5,1,MESOS,Improve the Onboarding page for new users,"""Due to the resolution of CONFSERVER-40215, the old onboarding page has been replaced for a simpler solution.    Some administrators would like to enable the old onboarding page again to new users or to have a new feature that contains videos or links explaining how to use Confluence.    The idea is having a video or more information that can show to new users usability features. For instance, a video showing how to create pages or how to edit pages.    """,non-design,FP,0.4023799999999999,DESIGN_VOCAB_IMPL,
CONFSERVER,CONFSERVER-60270,Suggestion,0,0.764551,0.5,1,MESOS,Confluence Plugin Update Request,"""Hi,    Can we please ask for an update on this plugin?     [https://marketplace.<USER>apps/1217975/team-playbook-okrs?hosting=server&tab=overview]    It's supported by Atlassian and hasn't been updated since 2018. This is a plugin that's being used currently.     Thank you!""",non-design,FP,0.264551,PROJECT_JARGON,
CONFSERVER,CONFSERVER-60398,Suggestion,0,0.903529,0.5,1,MESOS,Notifying Space Creator while the space is archived by admin,"""Currently, there is no notifications sent to space creator if Confluence administrator archives that Space. It would be helpful if the Space owner/creator gets a notification once the space is archived. """,non-design,FP,0.403529,OTHER,High-confidence FP (prob=0.90) with no obvious design vocabulary in the text -- unexplained by content alone.
CONFSERVER,CONFSERVER-60397,Suggestion,0,0.981274,0.5,1,MESOS,API to copy page for server/dc hosted Confluence,"""Currently we don't have an API available to copy a page or page hierarchy using REST API for Confluence hosted on server/dc where the same is available for Confluence Cloud.  * [api-content-id-pagehierarchy-copy-post|https://developer.<USER>cloud/confluence/rest/api-group-content---children-and-descendants/#api-api-content-id-pagehierarchy-copy-post]    The request is for having an API for Confluence on server/dc""",non-design,FP,0.481274,DESIGN_VOCAB_IMPL,
CONFSERVER,CONFSERVER-60278,Suggestion,0,0.948202,0.5,1,MESOS,Optimise permissions checking for a space,"""h1. Background    At the moment, if a space has permissions for 10 different groups, and Confluence needs to check is user has an access to the space, it call this method 10 times:    If there are a plenty of groups, each call would take some time, and users will notice the slowness of the system.  h1. Possible solutions  h2. Solution 1. We need a method in Crowd like:    It would improve performance, but it requires to change Crowd API.   h2. Solution 2. Retrieve all user groups only once    Another way (without modifying Crowd) is to retrieve all user’s groups first (Crowd allows to do this). And then check check user's groups against space groups without calling Crowd again.    The only problem could be if a user is a part of thousands of groups, but, fortunately, the result will be cached and used for any other space.    Here is the relevant stack-trace:  """,non-design,FP,0.448202,LABEL_AMBIGUOUS,
DM,DM-27183,Story,1,0.377144,0.5,0,CONFSERVER,Try GraphQL with OWL,"""Try to integrate GraphQL with OWL.    Start with searching, expand to the other functions.""",design,FN,0.122856,SPARSE_TEXT,
DM,DM-24653,Story,1,0.201928,0.5,0,CONFSERVER,Make a pip-installable script to send data to the alert stream simulator broker,"""Make a script which is pip-installable which can send data to the alert stream simulator broker. The script should just take a file and write it into the broker.""",design,FN,0.298072,LABEL_AMBIGUOUS,
DM,DM-27151,Story,1,0.383668,0.5,0,CONFSERVER,Allow record information such as detector name in dataIds,"""In gen2 people can specify the detector by name in a dataId.    This only seems to work for query expressions at the moment (where you can say things like exposure.name or detector.full_name).    It would be nice if a user could use the detector.full_name=R01_S10 or exposure.name=AT_O_20201002_00043 in a dataId without always requiring the integer forms. Registry does know them and in these two examples they are guaranteed to uniquely define the exposure or detector.    Aside: detector doesn't have detector.name at all so there is an inconsistency there with other dimensions.""",design,FN,0.1163319999999999,IMPLICIT_DESIGN,
DM,DM-24757,Epic,1,0.165969,0.5,0,CONFSERVER,"Redesign image ""capture"" from the DAQ for LSST-CAM","""{color:#1d1c1d}Work on DMTN-143 which is a redesign for image """"capture"""" from the DAQ for LSST-CAM.{color}""",design,FN,0.3340309999999999,PROJECT_JARGON,
DM,DM-24648,Story,1,0.052612,0.5,0,CONFSERVER,Validate that inputs match the right schema in alert stream simulator,"""Check that files passed in to the alert stream simulator match the expected avro schema.""",design,FN,0.447388,SPARSE_TEXT,
DM,DM-25616,Story,1,0.197757,0.5,0,CONFSERVER,Migrate to Fastly's built-in configuration features,"""Since our initial launch of LSST the Docs in 2016, Fastly has incorporated built-in configuration options for several of the things that we originally needed to add custom configuration for. There are also configuration aspects that are no longer relevant.    This ticket is to make these configuration changes. Note that DM-24955 is where we're fixing directly index support with query strings.   # Switch `Redirect to HTTPS` request setting to the built-in `Force TLS and enable HSTS`. Also, drop the """"If not TLS"""" condition to """"Reset original host for HTTPS redirect"""" [https://docs.fastly.com/en/guides/enabling-hsts-through-fastly]   # Drop the RTD redirect Content header settings.   # Stop using `900` range for internal states. Instead, use `600`. Based on Howell's blog post from [McDowell|https://www.integralist.co.uk/posts/fastly-varnish/].   # Change headers like http.location to `http.Location`.   # Fastly's built-in error page support (e.g. 404).   # Fastly's built-in gzip support""",design,FN,0.302243,LABEL_AMBIGUOUS,
DM,DM-24914,Story,1,0.066377,0.5,0,CONFSERVER,Check integer column types throughout Gen3 database schema,"""[~<USER> has discovered that the column type for the _max fields in the instrument table is not large enough for the values we use in obs_lsst - apparently we're not using a 64-bit type, and we never noticed because <sigh> SQLite doesn't care about types.    We should do full audit of all of our integer fields and make sure we chose appropriate sizes for all of them.  This may involve switching from just """"int"""" in the dimension configs to more precise types.  """,design,FN,0.433623,IMPLICIT_DESIGN,
DM,DM-24183,Story,1,0.101132,0.5,0,CONFSERVER,Deploy for DBB Buffer Mngrs v1.1 Gen2 for summit ComCam (handoff and endpoint),"""Deploy for DBB Buffer Mngrs v1.1 Gen2 for summit ComCam (handoff and endpoint)  This ticket had been created automatically Primavera ID: None""",design,FN,0.398868,LABEL_ERROR,"Near-identical boilerplate ""Deploy for X"" ticket, auto-generated, no content. Contradicts the project's own deployment hard-exclusion rule (LABELLING_METHODOLOGY.md)."
DM,DM-24185,Story,1,0.020963,0.5,0,CONFSERVER,Deploy for DBB Buffer Mngrs v1.1 Gen2 for BOT images (endpoint only),"""Deploy for DBB Buffer Mngrs v1.1 Gen2 for BOT images (endpoint only)  This ticket had been created automatically Primavera ID: None""",design,FN,0.479037,LABEL_ERROR,"Same boilerplate ""Deploy for X"" pattern as DM-24183/DM-24182."
DM,DM-24182,Story,1,0.088753,0.5,0,CONFSERVER,Deploy for DBB Buffer Mngrs v1.1 Gen2 for summit AuxTel (handoff and endpoint),"""Deploy for DBB Buffer Mngrs v1.1 Gen2 for summit AuxTel (handoff and endpoint)  This ticket had been created automatically Primavera ID: None""",design,FN,0.411247,LABEL_ERROR,"Same boilerplate ""Deploy for X"" pattern as DM-24183/DM-24185."
DM,DM-27171,Story,1,0.119551,0.5,0,CONFSERVER,Make gen3 ingest tests faster,"""Currently the ingest tests take a long time because every single file that is ingested is also read back into memory (half the run time for obs_lsst ingest is doing this).  This is not testing ingest at all -- reading one dataset back tells you the formatter is probably working but you don't learn anything extra if you then read all the other files.""",design,FN,0.380449,LABEL_AMBIGUOUS,
DM,DM-25384,Story,1,0.452823,0.5,0,CONFSERVER,Automate Schema Registry global compatibility mode setting,"""Schema registry global compatibility mode needs to be set to NONE after the EFD deployment:    Example for the Base EFD deployment:   """,design,FN,0.047177,SPARSE_TEXT,
DM,DM-25404,Story,1,0.090367,0.5,0,CONFSERVER,Update Discourse to 2.5.0 and install discourse-chat-integration plugin,"""Maintenance for the community.lsst.org forum:   * Update discourse to 2.5   * Install the discourse-chat-integration plugin that replaces the slack plugin, and configure the corresponding Slack app. See https://meta.discourse.org/t/set-up-slack-notifications-using-the-discourse-chat-integration-plugin/66730""",design,FN,0.409633,LABEL_ERROR,"Routine dependency upgrade + plugin install, matches the version-upgrade hard-exclusion pattern."
