,roberta_best,roberta_baseline,modernbert,qwen_lora_pretrained,qwen_lora_cold,svm,gradient_boosting,claude_zeroshot,claude_fewshot,gpt4o_zeroshot,gpt4o_fewshot,llama_zeroshot,llama_fewshot
CONFSERVER,0.9569,0.9433,0.9353,0.8762,0.6393,0.9239,0.9256,0.8838,0.894,0.8986,0.9142,0.7252,0.8201
DM,0.8198,0.8015,0.7477,0.6692,0.6809,0.8204,0.7465,0.8162,0.8129,0.776,0.7949,0.646,0.595
DNN,0.9625,0.9291,0.92,0.9263,0.8083,0.8889,0.8347,0.9449,0.9544,0.9278,0.9356,0.7993,0.8554
FAB,0.8884,0.8553,0.8742,0.8226,0.7081,0.8529,0.7799,0.8761,0.8716,0.8299,0.8746,0.7094,0.7035
JRASERVER,0.9301,0.9115,0.914,0.8675,0.7892,0.9348,0.9348,0.8092,0.8318,0.7984,0.8258,0.6982,0.6879
MESOS,0.9478,0.9152,0.9335,0.8676,0.8361,0.8431,0.8139,0.8899,0.8782,0.8787,0.8795,0.7451,0.8089
MULE,0.9315,0.9109,0.8999,0.7977,0.6088,0.8729,0.8174,0.8875,0.9104,0.8599,0.8783,0.7513,0.7082
NEXUS,0.9576,0.9408,0.951,0.866,0.678,0.8867,0.8878,0.9179,0.9146,0.9116,0.8935,0.8168,0.819
SERVER,0.8293,0.8524,0.8163,0.7893,0.7358,0.7055,0.6613,0.8219,0.848,0.8468,0.8018,0.7445,0.6681
TIMOB,0.9227,0.9232,0.8989,0.8489,0.8066,0.8832,0.823,0.8882,0.9205,0.8742,0.9127,0.7913,0.8056
