issue_key	project	issue_type	summary	description	comments	design_prob	Label
CONFSERVER-56057	CONFSERVER	Suggestion	"""Allow non-space-administrators to create and share groups"""	"""""""In Confluence as a normal user I constantly have to remember lists of names for selectively sharing pages read/write permissions with groups of people, representing informal teams relating to the content and collaboration. I would like to be able to create a group, as I can in email contacts, that is just a shorthand for me to share with common informal groups, and add/remove members from that at any time. I do not want to have to create any administrator requests to be able to do this frequent operation.         In Jira I can create filters for private use and choose to share them with others. Likewise as well as being able to create private groupings of people for Confluence sharing and permissions, I would like to be able to share these with others. To avoid clutter they could be discoverable by others at one remove from the main/official space groups."""""""		0.99264187	
CONFSERVER-59223	CONFSERVER	Suggestion	"""Add customizable """"privacy"""" and """"imprint"""" Links in Footer"""	"""""""The European GDPR forces every platform provider of internet applications to provide proper privacy and imprint information individually on that platform.    We encountered that there is no easy way in Confluence to provide that Information.   As you as software provider need to keep us as customer your might assist us keep Confluence running by providing at least a simple ability to set custom """"""""privacy"""""""" and """"""""imprint"""""""" links on every Confluence site (I think in that footer where also """"""""about Confluence"""""""" and """"""""Report a Problem"""""""" and so on is linked is a good place). We could create websites to present this information.    A better approach would be to have the gdpr/privacy/imprint information to be customizable in Confluence admin interface and simply klickable. But afaik this might be a bigger change."""""""		0.9925485	
CONFSERVER-58140	CONFSERVER	Suggestion	"""Granular control over permissions Space admins can grant"""	"""""""h3. Problem Definition    Space admins are giving other individual users admin privileges within spaces they control.    Permissions in this environment are managed using an automated tool (AGS) and it is not desired to grant permissions to individual users on the root of the space without approval or potentially at all.  h3. Suggested Solution    The desired outcome is to allow the Global admin to restrict a Space admin's ability to grant the """"""""admin"""""""" privilege of a space to individual users while still allowing the space admin to grant other permissions to individual users.    Stated differently, the desired ability is for the Global admin to remove the """"""""admin"""""""" privilege as an option for Space admin's to select. The Global admin would be the only one who can grant admin privilege at the space-level   h3. Why this is important    Global admins should have the ability to determine who can fill a space admin role, as individual space admins potentially give this right to users that should not have it.   The unauthorized admins then have rights not controlled via automation.  h3. Workaround    As a workaround, the Confluence administrator can hide the UI elements that are used to assign/remove the Space Admin permissions in the Space Tools page.   Note that this will not remove the functionality, but just hide the element so that users can't see these and, therefore, change its value.   The elements will be hidden from all users, also applying to Confluence administrators.   # Go to *Cog icon* > *General configuration* > *Stylesheet* to open the [_Global Stylesheet_|https://confluence.<USER>doc/styling-confluence-with-css-166528400.html] admin page.   # Click on the _Edit_ button, add the code below and then _Save_ it.   ** You may use any combination of the following options to hide one or multiple elements.      (!) If anyone needs to set the Space Admin permissions, then the <USER>must to remove this code from Confluence stylesheet."""""""	"""Hello Team,     On our Confluence environment, we are seeing several space admins giving individual permissions to other users as admins on the space.    We need a way on Confluence to block space admins to grant admins permissions to other users?    As we manage permissions using an automated tool we do not want to grant permissions to individual users on the root of the space.    We appreciate the effort here on this new feature. Thanks!"" [SEP] ""[~<USER> please see this possible workaround which may be of use to you:  h3. Workaround  As a workaround, the Confluence administrator can hide the UI elements that are used to assign/remove the Space Admin permissions in the Space Tools page.  Note that this will not remove the functionality, but just hide the element so that users can't see these and, therefore, change its value.  The elements will be hidden from all users, also applying to Confluence administrators.    # Go to *Cog icon* > *General configuration* > *Stylesheet* to open the [_Global Stylesheet_"	0.99223036	
CONFSERVER-58395	CONFSERVER	Suggestion	"""Move Team Calendars expensive tasks to the Sandbox Framework"""	"""""""h3. Problem Definition  Some Team Calendars operations are resource expensive and can interfere on other regular Confluence tasks.  This can lead to users experiencing overall slow downs on Confluence, which could be caused by punctual tasks.    h3. Suggested Solution  With the introduction of the [sandbox framework|https://community.<USER>t5/Confluence-discussions/Sandbox-Framework-for-Confluence-Server/td-p/1076306] we have now a way to move expensive processes to a separated JVM so that they don't interfere directly on Confluence performance.  For example, if a calendar export requires too much of the heap, it won't need to conflict with other regular Confluence operations for resources.    This suggestion is opened so that we can start to design Team Calendars on a way it can take advantage of the sandbox framework in any expensive task, making Confluence and TC more reliable and stable.     h3. Workaround   _None so far_"""""""		0.99195015	
CONFSERVER-59440	CONFSERVER	Suggestion	"""Drop matching licences policy asap, please!"""	"""""""Dear Atlassian,    I've been a fan of your tools for the last decade, and regard very positively the evolution in the products and growth of you offers.    However, the matching users licence policy is now completely outdate, and I strongly suggest you review it. Given the high number of plugins Confluence available, it happens quite often that we would like to start using a given plugin for on of our company's divisions only, limiting the licence (and price) of the plugin.    Due to your matching licences policy, this is not possible, which many times stops us from getting additional products complementing your tools.    IMHO, one of the main reasons for Atlassian's products success is the highly flexible and usable User Management approach, but oddly enough, the matching licences policy is a big obstacle to going deeper into the Atlassian ecosystem.    I therefore suggest you implement a more flexible licensing policy, where the system admin can 1) choose a sub-set of users from Confluence licence which have access to a given plugin, or 2) select all users if the licences match."""""""		0.9916176	
CONFSERVER-58717	CONFSERVER	Suggestion	"""Please add the Project plan, Marketing plan and Product launch plan template to the Confluence blueprint apps """	"""""""Currently, the Project plan template is only available on the Cloud: https://www.<USER>software/confluence/templates/project-plan  It will be great to have the same available on the Confluence server or DC version. """""""	"""I got a lot of incredible templates design from here. And i must say that this plays an important role in building and advertising your business. Here you can get help from [https://www.kiva.org/lender/roberto4879]  easily. Templates should be of exceptional design in here you got all that material and ideas. Amazing."""	0.99160355	
CONFSERVER-59461	CONFSERVER	Suggestion	"""Provide a feature that notifies users when a change in Confluence may affect the look of their content."""	"""""""Often times, various changes in Confluence in the form of HTML/CSS customizations, installation of third party plugins, may (unintentionally) produce unwanted changes in the way data/content is displayed in Confluence.     Often times, the end user does not know how/ or why the content that used to """"""""look"""""""" on way, suddenly look differently which causes frustrations, especially if the new look distorts the content significantly from how the author originally wants it to look like.     It would be great addition to Confluence if:  # Confluence would automatically detect that certain customisation changes _might_ affect the look and feel of a content and then notifies authors in this regards.   # This will help authors verify if there are any changes in the look of their content and as such help them either to edit the content to suite the new look or help them notify the admins of their respective Confluence instances that a recent customisation or plugin has caused their content to behave in a different way."""""""		0.9915298	
CONFSERVER-59800	CONFSERVER	Suggestion	"""Additional media type in articles support"""	"""""""Confluence in enterprise provide single way to research technical documentation. Most s"""""""	"""services provide API and confluence  does not provide additional tools to processing that documents. For example proprocessing by Swagger document generator and other specification preprocessor. Could you please integrate some components to create SPACE with autogenerate documentation with most popular generator or invent you own.    Most popular services also provide API with counting docuemnt with function or method description or with introspection developer structures. For example provide JSON schema for structure verification or example for doing POST request over RESTful API.    Will be good have that tools in Confluence."""	0.9911612	
CONFSERVER-58800	CONFSERVER	Suggestion	"""As a Confluence administrator I would like to configure Space level redirect rules to forward users to a different instance"""	"""""""h3. Problem Definition  When migrating Confluence Spaces from one instance to another, users may still access pages in the legacy instance without knowing the content was migrated and a more recent version is available.  Users may be directed to the legacy instance because of bookmarks or links available in external systems (not Confluence).  It would be interesting if we could adjust a rewrite rule directly in Confluence configuration to send users to the new instance when they are trying to read content from migrated Spaces.    h3. Suggested Solution  Provide the ability to configure directly in Confluence rewrite rules based on Spaces (Space key, for example) to send users to a new Confluence instance.     h3. Workaround   Review the options highlighted in [How to redirect Confluence users to a new URL|https://confluence.<USER>confkb/how-to-redirect-confluence-users-to-a-new-url-976758203.html]"""""""		0.99087286	
CONFSERVER-56449	CONFSERVER	Suggestion	"""Exceeding license limit should not render the server Read-Only for Data Center"""	"""""""h3. Problem Definition:    Data Center customers have an expectation of availability for their server instances. Often in these large data center environments, users are programmatically created or provisioned from directory systems. However, when the license count is exceeded, users can still continually be created. This is a problem, because once the license count is exceeded the server becomes Read-Only and is no longer available for any real use. This action negates the feature of high availability, since no work can be done on it.  h3. Suggested Solution:    No longer allow the creation of any new users that exceed the license limit, and keep the server from being made Read-Only.  h3. Why this is needed:    Keeping the license count from being exceeded in order to maintain high availability of the server for all existing users requires constant vigilance for some teams."""""""		0.99072355	
