issue_key	project	issue_type	summary	description	comments	design_prob	Label
FAB-17852	FAB	Story	"""Production Network Testing"""	"""""""A blockchain is meant to be a pseudo-immutable, everlasting ledger. It is meant to run forever, without ever coming offline, and never experiencing downtime.    To that end, as System Test, we will test a network by running in a manner consistent with the expectations we have of our consumers running their networks in production. This include monitoring, alerting, scaling, upgrading, trafficking, and maintaining the network just as our consumers do. We will encounter the same issues our consumers experience, such as storage size, and deal with them in the same manner our consumers do.    The intent is that this network should never stop running. By doing this, we will be able to better understand the UX of our consumers and help drive out technical challenges they face, all while asserting that our software behaves in a manner consistent with its intended design.    Outputs of this work will include documentation for features, maintenance, etc., as well writing user stories from our experience to drive new work in Fabric UX."""""""	"""Network is deployed to community-longrun cluster, scheduled a daily run to send invokes to production network and it is running at https://dev.azure.com/Hyperledger/Fabric-Test/_build?definitionId=108&_a=summary"""	0.9940339	
FAB-15229	FAB	Sub-task	"""Service discovery needs to support channel config policy references"""	"""""""The chaincode definition in the new lifecycle requires:    an admin of an organization to define the chaincode for peers in the organization  an admin of a channel to invoke an endorsement on the lifecycle chaincode in order to collect the """"""""votes"""""""" of step (1) and then send a transaction with these signatures (of the admins of all organization).       Step (2) is governed by an endorsement policy that is a meta-policy, which can be either a signature policy, or a quantifier predicate of meta-policies such as - all, any, or majority.    If we expand service discovery to support meta-policies, we can have SDKs know the peers to send endorsements for step (2) via discovery endorsement queries."""""""		0.99304986	
FAB-14605	FAB	Story	"""As a client to a Fabric Network I shouldn't have to assume defaults"""	"""""""I'll use the concrete example that sparked this. I'm sure there are others.    A fabric network defines the maximum permissible message size at creation time.     As a client - regardless of SDK - a user ought to be able to determine the maximum message size allowed by this network so they can configure my client access methods appropriately.    Currently this is left to the individual SDK implementations rather than being specified by the network owner. It would be far more convenient if it were returned by a network configuration call so clients can act on it - and set their own connection values - appropriately.    This is especially true when the network is managed by a third party and access to configuration is limited.     """""""	"""Stale"""	0.99289846	
FAB-17111	FAB	Story	"""Separate client and cluster facing ports on peers and orderers"""	"""""""TLS makes load balancing for peer and orderer nodes difficult to implement. Without TLS, many transparent load balancing mechanisms just work out of the box, for example Kubernetes services.    It would be beneficial to separate client and cluster facing ports on peers and orderers, so TLS  can be enabled on those ports separately.    Generally client applications and relevant Fabric peers and orderers run in the same trusted environment where TLS is not a security requirement. In contrast. disabling TLS have benefits for scalability and availability.    This is related to FAB-15648    In addition to discussion in that ticket, re-thinking suggests, TLS termination proxies wont help in mixed environments, where some peers/orderers are behind a TLS termination proxy some other not. So, as it's now, in a mixed environment TLS should be enabled network wide which will prevent transparent load balancing.     """""""	"""[~<USER>        [~<USER>     [~<USER>    What do you think? This looks like a natural extension to FAB-15648"" [SEP] ""{quote}TLS makes load balancing for peer and orderer nodes difficult to implement.  {quote}  The whole point is that Fabric does this load balancing for you in every layer - starting from the SDK and concluding in the peers / orderers.       {quote}Without TLS, many transparent load balancing mechanisms just work out of the box, for example Kubernetes services.  {quote}  I don't think that it makes sense to run Fabric in production without TLS.    Fabric is a Blockchain and as such it is supposed to be used across different organizations that don't trust each other and they always move around sensitive and confidential data.   It's true that you can run the nodes in some service mesh that does the TLS termination for you like Istio, but why would you do that if Fabric manages TLS for you, for all the organizations in the network?       {quote}In addition to discussion in that ticket, re-"	0.9922299	
FAB-17279	FAB	Story	"""Service discovery should consider collection-level endorsement policies"""	"""""""In v2.0 an option to specify endorsement policy at collection level is added. Therefore service discovery for endorsements at collection level also needs to take the collection level endorsement policy into consideration.    This will require an API to get endorsement policy given chaincode and collection name."""""""	"""This shouldn't be too hard, as discovery simply relies on a one method interface:      To retrieve the endorsement policy and the collection config.   If we extend it to have a collection (or an empty string if no collection) parameter as well which puts in the endorsement policy in the Metadata the EP according to whether the collection level EP is set or not, then things should work, as long as the current code works properly.     I'll try this approach and see where it gets us."" [SEP] ""https://github.com/hyperledger/fabric/pull/445   [~<USER> I need someone to work its way from the fabric lifecycle side... """	0.99212486	
FAB-15710	FAB	Story	"""Design & implement channel participation REST API - Join, Remove, and List channels"""	"""""""With FAB-15708 and FAB-15709 implemented, an orderer can start without any genesis method, or any channels defined, but does nothing.      We need an API to be able to:    * Join this OSN to a new or an existing channel,  * Remove this OSN from an existing channel,  * List the channels this OSN is a member of.    This story is dedicated to the detailed design and implementation of the REST API of this feature, with the underlying behavior described in epic FAB-17712 and associated RFC. The REST API implementation will accept the queries defined and will transfer them to an abstract interface of the underlying implementation.    The first product of this task is a design document.    The REST API design is [HERE|https://docs.google.com/document/d/1kYoicS_Z59gNvmuuB7VFZ6WsOL31C34dWMeOFQiIygA/edit?usp=sharing]."""""""	"""[~<USER> [~<USER> Could you please review the design document?"""	0.99203557	
FAB-16175	FAB	Sub-task	"""Define hook for alternate validation of endorser transactions"""	"""""""Historically, transactions in fabric could be validated by system chaincodes and later by go plugins - both of which aimed to be plug points so that alternative validation of endorser transactions could be defined. System chaincodes and go plugins are now being removed, and so the pluggable nature of validation should at least be preserved by defining a clear interface and using the """"""""validation"""""""" field of a chaincode definition as a way of determining the correct implementation of that interface.    Alternatively, we could say that alternative validation of endorser transaction doesn't exist, we can only validate differently a different type of transaction. In this case, there is no need to even  have a field to store the alternate name of the system chaincode/plugin."""""""		0.99196285	
FAB-17663	FAB	Story	"""Implement function to update a consortium group's channel creation policy value"""	"""""""As a consumer of the fabric config API, I would like to be able to update the channel creation policy value in a consortium.    We don't support configuring it at channel creation time because it governs the validation of the channel creation request so allowing the channel create tx to set the value would defeat the point; however, we want to be able to allow consumers to update this value on config updates. Note that this is not a ConfigPolicy but rather a ConfigValue in a specific consortium group.         *Acceptance*    I can call the function to update the default channel creation policy value in an existing config. An example should be added to the example_test as well."""""""	"""https://github.com/hyperledger/fabric/pull/929"""	0.9916917	
FAB-15413	FAB	Sub-task	"""Complete service discovery integration tests for the new lifecycle"""	"""""""There are 3 integration test scenarios for service discovery         but [https://gerrit.hyperledger.org/r/#/c/30994/] only covers the first scenario in the new lifecycle. This sub-task tracks the work required to investigate whether the 2nd anr 3rd scenarios are relevant to the new lifecycle and whether we should code tests for them or not.     """""""	"""FAB-15222 now incorporates _lifecycle in the first two tests(""""channel information"""" and """"peer membership""""). The third test is for another aspect of service discovery that is unrelated to lifecycle and chaincodes, so I've left it as-is. """	0.99154985	
FAB-17308	FAB	Story	"""Discovery should support private data blind writes"""	"""""""Currently, when a client queries discovery with an endorsement query which has collections in the query, discovery intersects the available peers with the collection definition by removing peers which are not part of the collection since they do not have the pre-images required to read from the namespace.    However, the introduction of *GetPrivateDataHash* makes new use cases possible, namely scenarios where some of the endorsers of a transaction aren't in the collection, but they are fed with the pre-image via other means (e.g the transient field) and after validating the pre-image using *GetPrivateDataHash*, they can perform the same computation as peers that are in the collection. In such a case, discovery will filter out those peers needlessly.    Furthermore, we want to be able to support writes to collections that have their own endorsement policy, while at the same time the membership of the collections might not even intersect (e.g if we have an org specific collection and we want to delete a key from collection """"""""orgA"""""""" and write it into collection """"""""orgB"""""""").    The above use cases require the ability to convey to discovery not to filter out peers based on collection association.    Additionally and independently, we sometimes want to do a chaincode-to-chaincode transaction where some of the chaincodes are used for read only, and then we don't want to take into account the endorsement policy, however it can be useful if discovery would still be aware of this so it can filter out peers that do not have the chaincode installed.    To support all the above, I propose to add 2 new flags (3 and 4 below) in the [ChaincodeCall|https://github.com/hyperledger/fabric-protos/blob/master/discovery/protocol.proto#L156] protobuf message:    Adding these 2 booleans will preserve backward compatibility to Fabric versions 1.4 and below, but will enhance the expression power to support more use cases.         [~<USER>"""""""	"""https://github.com/hyperledger/fabric/pull/538"""	0.99142015	
