issue_key	project	issue_type	summary	description	comments	design_prob	Label
JRASERVER-70775	JRASERVER	Suggestion	"""Portfolio for Jira """	"""""""Representatives of Likn4 TU SA as potential users of the Portfolio For JIRA system have identified use cases that we do not know if it can be handled in the system.         We've created two new hierarchy levels above Epic: Initiative and ‘Strategic lever’ (the last one is the highest level)         Request 1 (Parent link directly between the standard issue type and the initiative)    Is it possible to create a parent link directly between an Initiative level task and a Standard Issue Type task?    In our business practice, initiatives often consist of Epics that group tasks and individual tasks. It is not effective to create Epic tasks for individual tasks in order to connect this task to the initiative.    If this is not possible, will the functionality described above be created in the future?         Request 2 (Many parent links between one initiative and many strategic levers)    Is it possible to create multiple parent links from one task from the Initiative level to many different tasks at the ‘Strategic lever’ level.    We want to be able to define a strategy in the form of many issues at the highest level of the hierarchy, which constitute 'strategic levers'. We want to be able to align the level of initiatives with the strategy by linking the task from the initiative level with each corresponding task from the level of strategy leverage.    Can this demand be met using Portfolio for JIRA? How?"""""""		0.9934262	
JRASERVER-69588	JRASERVER	Suggestion	"""Project Roles should not be global"""	"""""""Our company has various groups that use Jira and each of them requires different roles for their workflows. Would be nice to have the ability to limit what roles are visible in different projects so that teams don't get confused about what each role means. We have over 3000 users, so training each of them on the roles and expecting them to remember is ridiculous especially as new roles continue to be added to our growing Jira server. """""""	"""We also find this crucial and urgent for our organisation, we have dozens of projects which don't necessarily have the same roles, problem is all roles are shown for every project, which makes role management quite painful."""	0.99320614	
JRASERVER-70896	JRASERVER	Suggestion	"""Split the """"create shared objects"""" global permission into """"create objects"""" and """"share objects"""""""	"""""""The current """"""""create shared objects"""""""" global permission controls the """"""""ability to share dashboards and filters with other users, groups, and roles"""""""". Those who do not have this permission will still be able to create and save dashboards and filters, they just won't be able to share them.    It's perfectly reasonable to expect that a software such a Jira would be able to provide a true read-only user experience, but this is not currently the case. There is no setting currently in Jira, global or project-level, that can restrict a user from creating objects (or exporting data, for that matter). This seems like an important oversight and something that has a very broad use case, including allowing for temporary visitors from other projects, or even auditors who must have view-only access to a live project but also must abide by very specific restrictions."""""""		0.9928784	
JRASERVER-70024	JRASERVER	Suggestion	"""Allow Project Admins to make changes to the Permission Scheme used by the project"""	"""""""h3. Problem Definition    On 7.4, we started allowing Project Administrators to make changes to workflows and screens of the project, taking certain restrictions in considerations. However, there are other settings that can be project-specific that we only allow Jira Administrators to perform the changes.    h3. Suggested Solution    In a similar method, we can also enable project-level admins to make changes to the permission scheme used by the project, taking into consideration the same restrictions that we have on other functionalities.    h3. Why this is important    This helps by eliminating a possible bottleneck on project configurations - usually, there are multiple admins in a project, while we have just a few global admins for a multitude of projects."""""""		0.9921111	
JRASERVER-69589	JRASERVER	Suggestion	"""Project Admins Should be able to Modify Notification Scheme"""	"""""""Currently only system admins can set the notification scheme for a project. Project admins should be able to change the notification scheme as well as modify it to their projects liking. System admins shouldn't have to create a custom notification scheme for every project that wants one and I don't know any two projects in my company that want the same notification scheme. Project admins should be able to get the notifications they want, when they want them, and shouldn't have to rely on system admins to set that up for them."""""""	"""As I recall, project roles were added to reduce the number of different permission schemes needed.  If the Jira admin uses project roles in the permission schemes, then project admins can change who is in each project role."" [SEP] ""We use project roles to limit who can transition certain issues and for issue sign off. The roles match our internal processes so we can't just put who we want in the different roles."" [SEP] ""Jira admins can also create new project roles """	0.99197584	
JRASERVER-70914	JRASERVER	Suggestion	"""Gamification with badges"""	"""""""I know there are some Apps and plugins already, but all independent.         This Ticket I'd like to raise to *combine* CONFSERVER-51760 and JRASERVER-43462 as I'd like to request a Gamification-System which is cross-platform.    We use Jira and Confluence and I do not want to have independent leadership-bards, as both our platforms are used by the same people and are really close together.    So I'd like one Leadership Board, where a resolved ticket in Jira or a Comment in Confluence is doing the same badge-level.     """""""	"""Oh, one comment.    JRASERVER-43462 has been closed as it may violate EU-Code. I'd like to ask to ignore that statement, as firstly there are plugins available in the marketplace who'd also violate, secondly each Admin resp. company must check this themselves IMHO, as Atlassian products are not only used in EU AFAIK :)  """	0.9919544	
JRASERVER-69441	JRASERVER	Suggestion	"""NEXT GEN - Need higher level than Epic, like Theme in Roadmap"""	"""""""Would love to see a way to get a level above Epic, like Theme or Initiative.  Adding two would be nice and match up with Jira Portfolio.           Use Case:  We have epics at a team level, but want to report across multiple teams using an Initiative.           Would also like to view Roadmap and see progress of an Initiative instead of only Epics. """""""	"""Would be AMAZING if we could add Initiative above epic level in next gen."" [SEP] ""This would be vital in the next-gen roadmap. There are constructs higher than an epic, and it would make the Roadmap clearer, especially with a large number of open epics in a project.    Proposed hierarchy:         Initiative             Epic                 Story"" [SEP] ""This would be very helpful to be able to nest Epics systematically in Jira.  "" [SEP] ""Could be useful"""	0.9916602	
JRASERVER-68970	JRASERVER	Suggestion	"""deactivate or inactivate a sprint in place"""	"""""""JIRA would be much more Agile if a sprint could become Not Active, after becoming Active.    Currently, it is impossible in JIRA for the user to change their mind, once a sprint becomes Active.  I have been unable to find a practical reason for this behavior.    JIRA should be consistent between different features in the product, such as Issues and Sprints.  Notice the design and support for moving individual issues between the various states and statuses, such as Start Progress and Stop Progress, and Resolve, Close, and Reopen.  The same concepts should apply to Sprints.    There are arduous workarounds, such as completing, deleting and recreating a Sprint.  Frankly, this is not a viable workaround, it is more of a desparate hack.  Project Managment is hard enough without having rework imposed by tools.  As an example, the rework of completing a Sprint, deleting a Sprint, then rebuilding a brand new Sprint from scratch, exactly like the Sprint which was just deleted, for the sole purpose of having an idential Sprint that is Inactive, due to JIRA lacking an Inactivate button.    This new feature would function exactly like the Start Progress and Stop Progress buttons do for an Issue."""""""	"""It's interesting that our favorite project management tool would have this feature that inserts bottlenecks into our work process...    if one task is stalled the entire team is bottlenecked.     Parallel sprints feature is ok but still not quite right .... and doesn't work in next-gen projects."" [SEP] ""+1"" [SEP] ""+1"" [SEP] ""+1"" [SEP] ""+ 1"""	0.991424	
JRASERVER-69751	JRASERVER	Suggestion	"""Add memory probing to Atlassian Diagnostics bundled plugin"""	"""""""h2. Problem Definition    Currently, there's no functionality in Jira to determine _which_ threads are consuming high amounts of memory in frequent full GC/OoM situations without having to manually parse through heap dumps.    Tracking _exact_ memory usage by calculating the dominator tree is expensive, but probing per-thread allocation rates might be a useful signal for identifying suspect threads.  h2. Suggested Solution   # Extend app diagnostics to probe threads for memory allocations.   # Add new alerting property to mark threads exceeding a threshold allocation rate.    This may allow for more rapid identification of problems by highlighting specific threads with high memory allocation rates that can be correlated to access logs and thread dumps to identify users and activities that are expensive in terms of heap consumption."""""""		0.9912844	
JRASERVER-71297	JRASERVER	Suggestion	"""Add Config Option To Require Every New Custom Field to Add a Context"""	"""""""Would it be possible to expose a system configuration option that would enable an organization, if they choose, to enforce that any newly created custom field always be assigned a project-specific context and to automatically delete the global context?    This would never stop a custom field from being reused.  You simply add another project-specific context.    But this would stop the sprawl of custom fields into field configurations across all projects in a Jira instance, and would lessen the probability that, with the creation of each new custom field, we necessarily make Jira slower for everyone.    Because unfortunately not every organization has a dedicated Jira admin or set of admins that force the reuse of custom fields and actively prevent or discourage their creation."""""""		0.99110574	
