issue_key,issue_type,score,score_reason,review_action,review_note,summary,description
SERVER-3385,New Feature,14,+3:rabbitmq; +3:message broker; +3:message queue; +1:api; +1:protocol,KEEP,,"""Publish/Subscribe (Message queue) functionality""","""""""Message queue functionality is something that is/was traditionally handled by a dedicated message broker, i.e. RabbitMQ when using AMQP as protocol.  A growing trend is to use solutions that are easier to setup and maintain, such as pub/sub solutions (quite many of them). There are also NoSQL databases that have added such extensions, and the most common example is Redis.  MongoDB could fit very well in this world. (Capped) collections with polling subscribers can already today be used to simulate a message queue, but this is just a workaround. Having native support for publish/subscribe in MongoDB (with blocking readers, for example) can be used to add message queues without having to setup and maintain separate solutions and keep the same concepts as the application developers have grown used to, like the rich expressiveness of documents as messages. The advantages of replica sets can be used to add reliability and durability of messages in a queue (well, this would rule out capped collections).  An API would have to be created, and the concepts would have to be defined."""""""
SERVER-12303,New Feature,13,+3:sso; +2:authentication; +2:authorization; +2:access control; +1:protocol,KEEP,,"""Group, Role-based Authentication/Authorization via LDAP, Active Directory""","""""""Lightweight Directory Access Protocol (“LDAP”) and Active Directory (“AD”) are widely used by many IT organizations to standardize and simplify the way large numbers of users are managed across various internal systems and applications.  In many cases, LDAP and/or AD are used as the centralized SSO authority for user access control to ensure that internal security policies are compliant with corporate and regulatory guidelines.  While 2.6 provides MongoDB user level authentication via LDAP/AD, many organizations require that MongoDB users belong to higher level groupings that are easily managed via a centralized resource and, more importantly, abstracted from the MongoDB deployment altogether (meaning MongoDB users are defined and stored in an LDAP or AD directory and not in MongoDB).    This enhancement extends MongoDB user authentication via LDAP to include LDAP and AD group-based user authorization that is mapped directly to MongoDB defined roles and privileges.  It also provides the option for MongoDB users to be locally and/or remotely defined based on organization requirements.  This option also simplifies management by removing the need to synchronize LDAP/AD and MongoDB user definitions.    Functional requirements for enhancement include:  - After or as part of authenticating an end user the mongo node should be able to consult an LDAP/AD directory to enumerate and return the list of LDAP/AD groups of which the authenticated user is a member.   - MongoDB will use this list of returned LDAP/AD groups to map to corresponding MongoDB default or user-defined roles and privileges.  An authenticated user is then authorized by MongoDB based on successful group, role mappings.  MongoDB role definitions with MongoDB specific privileges must exist for this mapping to work.   - Current functionality of locally defined and authenticated users is preserved, but provide an option that allows users to be defined, stored and authenticated exclusively on a centralized resource (LDAP or AD).  In the latter case, no MongoDB users are stored in MongoDB. The MongoDB connection string will be used to pass the userid, password to LDAP/AD for authentication.  For authenticated users MongoDB would use the userid string for logging purposes only.    Use Case    - Company A uses AD as SSO directory, all end users for all applications are defined there.  - <USER>is defined as a user in AD and is a member of AD CompanyDBA group.  - MongoDB is added to <USER>s domain of responsibility.  MongoDB admin adds user-defined role CompanyDBA and all MongoDB specific privileges for this role to MongoDB servers <USER>will need access to.  - MongoDB servers <USER>works on are configured to authenticate using AD.  - <USER>logs in to MongoDB server using his AD userid, password, MongoDB reconciles AD server and AD authenticates <USER>as a valid user, passes back that <USER>is a member of CompanyDBA group.  MongoDB maps this to the MongoDB CompanyDBA user-defined role and grants <USER>access based on the privileges granted to that role.  Session privileges are cached until <USER>disconnects or there are changes to the privileges granted to the role or roles he is operating under.  """""""
SERVER-7060,New Feature,12,+3:saml; +3:openid; +2:authentication; +1:interface,KEEP,,"""External Authentication of Mongod Web Interface""","""""""Customers with user-authentication requirements who want to use the HTTP console will need that console to require authenticated access.  SAML or OPENID support would save Mongo from having to receive passwords from users at organizations with single sign-on solutions."""""""
SERVER-49348,Task,9,+3:architecture; +3:api versioning; +1:api,KEEP,,"""Architecture Guide updates for Create checks for API versioning breakage for security systems""","""""""Please investigate if this project requires changes to the architecture guide."""""""
SERVER-40360,Improvement,9,+3:architecture; +2:caching; +1:interface; +1:component,KEEP,,"""Process-global plan cache""","""""""The query system has a cache of plan information. This cache is used to skip the expensive plan generation and selection process when there are many instances of the query that have the same shape. The following documentation page has further information:    https://docs.mongodb.com/manual/core/query-plans/    The current architecture involves a per-collection plan cache. Whenever the user creates a new collection, it has a new plan cache inside of it. This means that, for users with many collections, the collective size of the resulting plan caches can use a prohibitively large amount of memory. In order to control the total amount of memory used for plan caching, we need a central component with knowledge of all the memory allocated for plan cache instances. The easiest way to achieve this would be to change the architecture so that there is a single plan cache per mongod instance. This could be done internally, without affecting the interface presented by [$planCacheStats|https://docs.mongodb.com/master/reference/operator/aggregation/planCacheStats/#pipe._S_planCacheStats], or the [older plan cache introspection commands|https://docs.mongodb.com/manual/reference/command/nav-plan-cache/].    Note that this problem is compounded by SERVER-34886. A complete solution to the problem of plan cache memory consumption would likely require us to solve SERVER-34886 as well, by enforcing a maximum size of the global plan cache in bytes rather than enforcing a maximum number of entries."""""""
SERVER-36631,New Feature,9,+2:public api; +2:caching; +1:interface; +1:api,KEEP,,"""Have the storage engine interface expose a reduced cache footprint read API""","""""""WT is exposing a cursor configuration such that an application can communicate it's intending to read the data only once. Given that knowledge, WT will change its caching behavior of data paged in via that cursor. The expected use-case is for this behavior is when MongoDB knows a client is performing a table scan for initial sync. It may also be useful for oplog reads when the reader is behind and has to start reading a large amount of data.    It's not expected that the storage glue layer will have enough information to know when opening a cursor whether it should opt-in to this behavior. This ticket is to expose a public API in the storage layer to allow higher levels declare their """"""""read once"""""""" cases."""""""
SERVER-29495,Improvement,9,+2:public api; +2:access control; +1:interface; +1:api; +1:database,KEEP,,"""Change DBDirectClient to access the query system interface directly""","""""""Currently all methods on DBDirectClient go through the full networking and command execution layers to perform basic i/o against the database.  This has caused many issues in the past including but not limited to problems with access control, curop tracking/profiling, write concern and maxTimeMs handling, command metadata management, etc.  It also means that any code using DBDirectClient requires linking in a huge amount of the mongoDB codebase.  The public API of DBDirectClient isn't bad, it's the implementation that goes through networking and command execution just to do basic reads and writes to documents in the database.  If instead DBDirectClient bypassed those layers and called directly into the query API, it would be much easier to use correctly and much more useful."""""""
SERVER-13755,New Feature,9,+3:message queue; +3:distributed,KEEP,,"""Support for tailable cursors over non capped collections""","""""""There are some use cases in which tailable cursors over a non capped collection may be useful.  This is a mitigation of the inability to shard (and therefor sale) capped collections (Tickets already open).   The desired behaviour would be: A tailable cursor open over a collection would send the data as any change on the collection happens (for inserts, deletes and updates). In other words would be something like make the op-log cluster wide visible. The order should be only strict per shard.  An example use case would be a message queue, avoiding polling the table with constant queries. Another example would be a distributed probe system, were the measurements are sent to a DB and processed by multiple readers.   If there's already a wait to achieve this behaviour in a sharded environment, let me know.  Thanks in advance. """""""
SERVER-12558,New Feature,9,+2:authentication; +2:integration; +2:authorization,KEEP,,"""Add External authentication via LDAP/Active Directory to Windows Enterprise Build""","""""""Add external authentication via LDAP/Active Directory to Windows Enterprise Build.  Support should be on par with Linux Enterprise product.  Work on this request should be coordinated with SERVER-12303 which extends current MongoDB, LDAP integration to include group and role-based authorization."""""""
SERVER-11753,New Feature,9,+3:message queue; +3:distributed,KEEP,,"""Allow findAndModify/Update to use a tailable cursor (w/await_data)""","""""""If one wanted to create a distributed message queue using MongoDB, the way to go about it would be to use tailable cursors to avoid having to poll, and use findAndModify to avoid the same message going to multiple consumers.  Either of these options are available separately, but not together. Having these two options available together would make MongoDB able to be used as a really nice message queue.  This was discussed briefly in SERVER-8602."""""""
