issue_key	project	issue_type	summary	description	comments	design_prob	Label
NEXUS-24221	NEXUS	Improvement	"""Documentation should specify the API/Specification that formats are implemented against"""	"""""""With some of the formats that Nexus supports, there are many clients and many ways that they can interact with the registry.    One example would be Helm, wherein the v2 commands and v3 commands are different and there is also a plugin ecosystem that users may commonly use.    Whilst it is not feasible to specify all clients and systems for a format that may be supported, there needs to be a way to know what *should* work.    To this end, the documentation should ideally specify the API and/or specification(s) for the format that Nexus has implemented, such that users can more easily determine if certain functionality should work, or is simple unsupported/unimplemented.    This would be beneficial for all formats where a formal API or specification exists."""""""		0.99221087	
NEXUS-13324	NEXUS	Story	"""Better explain that you can't publish to proxies/groups for formats"""	"""""""Scenario:   # A user sets up required tooling to use a proxy or group (more than likely a group)   # User attempts to publish/deploy/etc... to URL   ## Nexus Repo rightfully denies this   # User spends next few minutes or hours Googling to try and figure out what they've messed up with their config, rather than realizing this is by design    Some thing I stumble upon in the community role is that our users try and publish to proxies and groups more often than they should. I think that we could be a bit more explicit about this being impossible, at least until we did something for groups where you can publish and it picks the first hosted repo (I remember a ticket like this).    Example of confusion: [https://stackoverflow.com/questions/37856845/405-error-on-maven-build-to-nexus-3/40618154#40618154]    Acceptance Criteria:   * Maybe we run the documentation changes by the previously confused users and see if it is more clear to them that you cannot publish to a proxy/group"""""""		0.99146175	
NEXUS-23569	NEXUS	Improvement	"""Proxy repositories should include their remote URL in the repository view"""	"""""""As a developer, I would like to be able to view the remote URL of proxy repositories, so that I can know exactly what they are for.         *Details*    Presently, it is not possible for non-administrators to view the remote url of proxy repositories. This provides a poor user experience, and—especially with a large number of repositories—necessitates documenting what each one does in a separate place.    Proxy repositories should show the remote URL on their page so that users can make informed decisions about what they're using. Additionally, proxy repositories should be searchable by their remote URL so that users can easily find suitable internal repositories.         _Note_: It's possible to grant users access to this information with the {{nx-repository-admin-*-*-read}} privilege, however, this is far from an ideal solution."""""""		0.99105	
NEXUS-21826	NEXUS	Improvement	"""Move components to cheaper storage"""	"""""""Customers have expressed the need to be able to move components to cheaper storage.  At the moment, this can only be done by exporting and manually deleting them. There are lots of ways this could be improved:   * Manually triggered, e.g. staging move into a repo attached to cheap storage   * A policy that grabs components automatically, e.g. after they're a certain age   * Configured at the repo level (e.g. some repos are attached to cheap storage)   * Configured at the blob store level (e.g. a blob store group with a policy that auto-migrates really old content into a cheaper blob store within the group)   * Components continue to be available, vs. components that disappear from the repo and are inaccessible and need to be brought back in, either by external intervention or automatically by NXRM (possibly with some delay)."""""""	"""I see this is still unassigned, has this gotten much traction to get on the projects list?"" [SEP] ""[~<USER> This ticket describes a broad problem rather than a specific solution, but we have been chipping away at some of the use cases - for example, the 'staging move' operation works between members of a repo group, and we'll soon be releasing a task that lets you move a repository between blob stores, so you can unpick a 'single blob store' strategy if you need to.    What is your particular need?"" [SEP] ""I believe once we have the Change Repo Blob Store NEXUS-12016 functionality, it will cover the use case of this improvement request."""	0.99101806	
NEXUS-17724	NEXUS	Improvement	"""cleanup by age criteria should work against assets even if they are not part of components"""	"""""""Maven 2 repos allow a """"""""Permissive"""""""" layout policy. Maven 2 repos can also be created with a """"""""Mixed"""""""" version policy ( -NEXUS-17723- ).    Cleanup by using age criteria ( last downloaded, deployed, uploaded) select """"""""components"""""""" to operate on and apply age criteria. Some assets that are deployed under a permissive layout policy are not pure """"""""components"""""""", only """"""""assets"""""""", therefore may never get cleaned up under normal cleanup tasks that Nexus provides. The new cleanup policies we have rely on the Elastic Search index which operates on components, not database queries against assets.    The only workaround for cleaning such leftover assets is to use a groovy script to select these items from the database.  h4. Expected    Provide a built in mechanism to cleanup assets purely by age, irregardless of whether they are part of a component.     """""""		0.99091816	
NEXUS-18771	NEXUS	Improvement	"""optimize S3 blobstores for intelligent tiering"""	"""""""AWS S3 supports various object storage classes.     By default the S3 Blobstore implementation uses multi-part HTTP uploads of S3 objects with the default Storage Class of """"""""STANDARD"""""""" for all objects.    AWS S3 supports a feature called intelligent tiering of objects which dynamically tiers objects. To fully make use of this, one can set the storage class explicitly for objects when they are uploaded to INTELLIGENT_TIERING. Currently repository manager does not offer any configurability or optimization for using intelligent tiering storage classes.    From https://docs.aws.amazon.com/AmazonS3/latest/dev/storage-class-intro.html#sc-dynamic-data-access :    {quote}  Storage Class That Automatically Optimizes Frequently and Infrequently Accessed Objects  The INTELLIGENT_TIERING storage class is designed to optimize storage costs by automatically moving data to the most cost-effective storage access tier, without performance impact or operational overhead. INTELLIGENT_TIERING delivers automatic cost savings by moving data on a granular object level between two access tiers, a frequent access tier and a lower-cost infrequent access tier, when access patterns change. The INTELLIGENT_TIERING storage class is ideal if you want to optimize storage costs automatically for long-lived data when access patterns are unknown or unpredictable.    The INTELLIGENT_TIERING storage class stores objects in two access tiers: one tier that is optimized for frequent access and another lower-cost tier that is optimized for infrequently accessed data. For a small monthly monitoring and automation fee per object, Amazon S3 monitors access patterns of the objects in the INTELLIGENT_TIERING storage class and moves objects that have not been accessed for 30 consecutive days to the infrequent access tier. There are no retrieval fees when using the INTELLIGENT_TIERING storage class. If an object in the infrequent access tier is accessed, it is automatically moved back to the frequent access tier. No additional tiering fees apply when objects are moved between access tiers within the INTELLIGENT_TIERING storage class.    Note    The INTELLIGENT_TIERING storage class is suitable for objects larger than 128 KB that you plan to store for at least 30 days. If the size of an object is less than 128 KB, it is not eligible for auto-tiering. Smaller objects can be stored, but they are always charged at the frequent access tier rates in the INTELLIGENT_TIERING storage class. If you delete an object before the 30-day minimum, you are charged for 30 days. For pricing information, see Amazon S3 Pricing.    {quote}      h4. References    https://docs.aws.amazon.com/AmazonS3/latest/dev/storage-class-intro.html#sc-howtoset  https://aws.amazon.com/about-aws/whats-new/2018/11/s3-intelligent-tiering/  https://aws.amazon.com/blogs/aws/new-automatic-cost-optimization-for-amazon-s3-via-intelligent-tiering/  https://docs.aws.amazon.com/AmazonS3/latest/dev/object-lifecycle-mgmt.html  https://docs.aws.amazon.com/AmazonS3/latest/dev/UsingMetadata.html#object-metadata  https://docs.aws.amazon.com/AmazonS3/latest/API/RESTObjectPUT.html    h4. Expected    Allow optimization of S3 blobstore objects for storing intelligent tiering type storage classes.    What this actually means is yet to be defined - it could be as simple as allowing configurability of storage classes per blobstore, or something a little more dynamic.    h4. Using S3 Lifecycle Rules Instead    S3 Lifecycle Rules may be a workaround to implementing something in product. See    See these links for using a lifecycle policy to handle transitioning objects to various tiers of storage classes:    https://aws.amazon.com/blogs/aws/new-automatic-cost-optimization-for-amazon-s3-via-intelligent-tiering/  https://docs.aws.amazon.com/AmazonS3/latest/dev/object-lifecycle-mgmt.html  """""""		0.990555	
NEXUS-21724	NEXUS	Improvement	"""REST API rate limiting"""	"""""""As the implemented REST endpoints expand, production NXRM instances become more susceptible to DoS attacks. Some sort of rate limiting could protect an NXRM instance from unintentional or intentional DoS attacks usually caused by scripts written against NXRM endpoints.    h4. Expected    Implement a request rate limiting feature for REST API endpoints.    h4. Workaround    Reverse proxy servers in front of NXRM may have a rate limiting feature that could be used instead:    https://www.nginx.com/blog/rate-limiting-nginx/  """""""	"""Implementing NEXUS-20546 would help further protect API endpoints by limiting their access to specific authenticated users - however would not address rogue scripts using the credentials of privileged users."""	0.99049884	
NEXUS-20390	NEXUS	Improvement	"""Allow for removal of repository access from Anonymous user/role"""	"""""""Some large enterprises have certain repositories in their instances that they wish to hide from the rest of the organization (contents are sensitive). Current approach is to create a 'custom' Anonymous role and assign it to the Anonymous user. This can be tedious as you have to add each privilige to this role and have to do this every time a new repository is created.    Instead, it would be a lot easier if the default Anonymous role could be specified which repositories it should not have any access to."""""""	"""I think this ticket could be generalized to just allow negative access.  This could be valuable outside the anonymous usage as well (though good to have the use case).    I also wonder if this could be worked-around somehow with content selectors either now or maybe in future endeavor."""	0.9903985	
NEXUS-12015	NEXUS	Improvement	"""add hard quota for blobstores"""	"""""""I would like to pick up following request in the mailling list, because we have a similiar problem:  [https://groups.google.com/a/glists.sonatype.com/d/topic/nexus-users/Yi-VF7skaLM/discussion]    We have several different projects on our plattform that are using our Nexus instance as artifact repository for the development. It is not intended to be used for archiving purposes. We periodically have the issue that our backup space for release repositories runs out and we have to ask the projects which artifact versions are obsolete (e.g. they never were released to the customer or they are out of service) and can be removed. We also order new (quite expensive) expansion of our storage, if it's necessary.    With the blobstores that were introduced with Nexus 3 we get the possibility to better organize the used storage of each project. However we still have the problem to monitor the disk space in order to prevent system failures due to missing disk space.   With the feature to restrict the maximum size of blobstores, we would gain the possibility to define capacity quotas for each project and ensure the stability for other projects when one project violates them."""""""	"""[~<USER> FYI, we have a similar issue in our internal backlog (currently private) so I made this issue public so others could see and vote on it."" [SEP] ""Hi,    If you add <USER>limit for repository is helpful, soft limit is simply warning to user and simply adding more logs to log file. All user feel like enable hardlimit for each repository then it will be good. Please check on this. Thank you"""	0.9902086	
NEXUS-12276	NEXUS	Improvement	"""reduce JVM heap memory consumed by group repository 404 not found responses"""	"""""""AbstractGroupRepository collects any throwables thrown from its member repositories when requesting content and stores them in a map (memberThrowables) which it then propagates upstream inside a GroupItemNotFoundException. The stored throwables are only used when handling 'describe' requests.    For complex setups with lots of nested groups and many concurrent requests these throwables can end up taking a significant amount of heap, only never to be used because the requests are almost exclusively non-describe requests.    By skipping collection of these throwables for non-describe requests we should reduce pressure on the heap for all users (those with complex setups should see the most benefit)."""""""		0.9900739	
NEXUS-11446	NEXUS	Story	"""add base staging suite like features for repository manager 3.x"""	"""""""This initial collection of work makes available a base set of staging suite features in the Nexus Repository Manager PRO product line. The staging functionality is exposed by way of a set of REST APIs and includes support for tagging components and moving components between repositories.     This set of APIs and capabilities provides a set of flexible building blocks that can be combined and orchestrated as needed to accomodate your organization's software build and release pipeline and can be easily integrated into CI/CD systems to support established workflows.    Additionally, new security permissions and a schedulable task have also been provided to support staging activities.    """""""		0.99005085	
NEXUS-14775	NEXUS	Improvement	"""LDAP group membership matching should be case insensitive by default"""	"""""""LDAP group membership matching is case-sensitive inside Nexus Repository Manager. In rare cases some LDAP servers systems may enforce group matching case-sensitively, but by default DN and attribute matching is case-insensitive:    [https://stackoverflow.com/questions/29897684/is-ldap-dn-case-insensitive]    This issue is to acknowledge the application default matching algorithm and provide a vehicle to gather user feedback if change the default is warranted/desired by users.    Changing the default matching could conceivably result in a security escalation in rare circumstances, so such a change could require a major version bump of product.    The IQ Server also appears to match case sensitively on group membership as well, so both server product defaults are consistent to my knowledge.     """""""		0.99003524	
