project,issue_key,issue_type,score,score_reason,review_action,review_note,summary,description
JRASERVER,JRASERVER-70468,Suggestion,15,+3:oauth; +2:authentication; +2:rest api; +2:authorization; +2:integration,KEEP,,As a Jira Administrator I want to configure user accounts for integration jobs with low login overhead,"""h3. Problem Definition  _Basic authentication_ for REST API call has a performance overhead. There are a couple of things which contribute to that:  * Authentication itself, also a possible roundtrip to LDAP/AD/Crowd server  * Updating (refreshing) user attributes from LDAP  * Updating login attempt data _recordLoginAttempt_   * Updating UserAttrubutes with updateLastLoginTime  * EventPublishing Security event    h3. Suggested Solution  Add option to configure automation (service) user account which has fewer actions during login (auth):  * Doesn't update Login counter for every successful login (possibly every X requests)  * Doesn't update LastLoginTime for every login  * Doesn't update user attributes from LDAP for every login (example {{updateUserFromRemoteDirectory}} method)     +Possible solution:+  OAuth 2.0 authorization via tokenization should allow for users to self generate a token in order to provide a secure and easy way to integrate their apps at a project level. Tokens should be associated with the corresponding user account limiting permission to the platform based upon the user's access.     h3. Note  Make sure that service account doesn't have Jira Admin privileges. In addition to having a security risk, it also has an extra performance overhead due to processing {{removeDismissFlagForUser}}.    h3. Workaround   Try to avoid _Basic authentication_ for each REST API call, instead try to use _cookie-based authentication_     This is how cookie-based authentication works in Jira at a high level:  * The client creates a new session for the user via the Jira REST API.  * Jira returns a session object that has information about the session including the session cookie. The client stores this session object.  * The client can now set the cookie in the header for all subsequent requests to the Jira REST API.     More details: https://developer.atlassian.com/server/jira/platform/cookie-based-authentication/"""
DNN,DNN-9455,Epic,14,+3:microservices; +3:multi-tenant; +2:integration; +2:connector; +1:module,KEEP,,Site Import / Export,"""Content Staging is an Enterprise CMS feature that DNN is currently missing. To potentially get to content staging, we're starting with whole-site Import / Export. This will be a stand alone module in Persona Bar > Settings. This may require iPortable v2 and microservices multi-tenant capability. The target content for export is that generated as part of the CMS. Modules that are predominately site visitor/user driven content typically won't take part in this process (Engage modules like Answers, Discussions, Ideas, etc.).     *PERMISSION*  Admin and Host user will have access to this functionality, however Admin will have access only to their own site.    *WHAT ARE WE EXPORTING*  Existing:  * Content  * Files  * Roles  * Profile Properties  * Pages (pick list with option to select/de-select all with a single click)    New:  * Users (each user's membership information: username, password, email, )  * * User profile property values (if users are selected AND profile properties)  * Extension packages (No UI)  ** Modules/Providers/Themes/Language Packs  ** Folder permissions  * HTML Provider Configuration (No UI)  * Vocabularies  * URL's and redirects (No UI)  ** Any AUM settings (site level), any page level redirects  * Evoq page templates (No UI)  * Evoq Connector Data (most of this is probably under portal settings)  * All Portal Settings data (any property from the table should automatically)  ** Anything related to portal alias data will *not* be included  * All Page Settings not currently included, per page  ** This should include any page header, scripts, etc. seen via the page settings UI    *NOT IN SCOPE*  * Page version history  * Asset version history  * Transfer files to production  * Direct site-to-site connection  * Continuous integration  * Analytics data   * Workflow   * Community Module Content (Engage module content, for example)  * Mechanics Activity, Scoring Action or Privilege point data  * Portal Alias data    *EXPORT / IMPORT STEPS*  * Export: The export wizard will involve most of the decision points, in order to produce a final package that is universally accepted and standardized for DNN sites.  * Import: Import should involve less decisions, run without exception, and be a very painless process    *TESTING NOTES*  Upon Export, a .zip package should be created that installs into any other DNN site with similar versions.  """
DNN,DNN-8141,Story,13,+3:jwt; +2:authentication; +1:component; +1:endpoint; +1:api,KEEP,,Implement Moniker API for Service Framework ,"""A moniker is a simple name provided for an objects that simplifies identifying specific object instances.  This concept was first used in Microsoft Object Linking and Embedding (OLE), and the Component Object Model (COM).      The DNN Services Framework was first introduced in DNN 6.2.  When creating web services with the Service Framework, it is common to require callers to provide the ModuleId and TabId as part of the web request header.  This requirement complicates the programming model since service endpoints become tied to their specific location in a website.  Modules are able to easily retrieve the ModuleId and TabId from the service framework as part of the initial module rendering.  However, this mechanism is not available for remote callers, where the UI rendering is not directly controlled by DNN.    In order to encapsulate this context data and to simplify the programming model for web services, we should introduce the concept of a moniker.  The DNN service moniker will provide a mechanism for mapping a simple name to a specific module instance.  This moniker can then be passed to a web service in place of the ModuleId, TabId or any other context data specific to a module.    The moniker should be implemented as an additional system TabModule setting. By default, the moniker will be composed of the page name, the module definition friendly name and the TabModuleId separated by /.  When composing the default moniker, all spaces should be replaced with dashes.  For example, if the Social Groups module was on the “Community” page with TabModuleId of 100, the default moniker would be “Community/Social-Groups/100”.      The default moniker implementation provides a human friendly method to identify the page and module being addressed and also a unique element to differentiate between multiple modules on the same page.  The core platform should expose a service endpoint that allows an application to query for monikers related to a specific module type that the current user has permissions to view.    When calling service endpoints that need a specific module context, the moniker will be included as part of the service call.  The service can then use the moniker to easily lookup any context for the module instance associated with the moniker.    *Developer Notes:*  The purpose of this step is to help the back-end to create the DNN context for the web API request. Therefore, it is not tied to any authentication mechanism (like JWT, Basic, Forms, etc.)    Injecting the moniker in the query part of the API request requires modifying all existing API’s that need to use this moniker  but is not feasible and requires making changes to existing core (which we want to completely avoid). What we need is a non-invasive method. One way in which this can be implemented is by adding a new vendor specific header in the request as an alternate way to using the {{TabID}} and {{ModuleID}} that are in use today. Assume we are going to use {{X-DNN-MONIKER}} for this purpose. An example of a full header would be:  {{X-DNN-MONIKER: John’s Blog}}    Before being able to use this feature, there is a need for an API that returns the various monikers associated with a specific module. Let’s say in an EVOQ Engage site if we need to find all the monikers that use the discussions module, say discussions (i.e., all tabs/pages that have the discussions module in them), we will send an API request that returns all of these monikers associated with discussion modules placed on various pages. This call may return zero, one, or more monikers.    There must be a consideration for user rights in every data returned from the API; no private data should be revealed to an un-authorized user."""
MULE,MULE-13447,Task,13,+3:oauth; +2:integration; +2:connector; +1:plugin; +1:api,KEEP,,Fix module tests failing in Windows,"""[Test run results|https://docs.google.com/spreadsheets/d/1YXsIXyqjcQVIgpiZK8zIwi9y2OcV9LnLPGBBP30bLNA/edit#gid=1636801084]    *Modules reporting failures*  * metadata-model-api  * mule  * mule-api  * mule-compatibility-plugin  * mule-db-connector  * mule-distributions  * mule-ee  * mule-ee-distributions  * mule-email-connector  * mule-file-connector  * mule-ftp-connector  * mule-http-connector  * mule-http-ee-service  * mule-integration-tests  * mule-jms-connector  * mule-oauth-module  * mule-objectstore-connector  * mule-scripting-module  * mule-soap-service  * mule-sockets-connector  * mule-validation-module  * mule-vm-connector  * mule-wsc-connector"""
DNN,DNN-10405,Epic,12,+3:microservice; +2:integration; +1:api; +1:module; +1:service,KEEP,,Move Liquid Content from Microservice to Platform,"""We want to move Liquid Content from the Evoq Microservice into modules and extensions within DNN Platform.      Important items to consider:  # Content Library, Content Types, Visualizers and API Keys need to be ported.    # Visualizer module needs to be ported.    # Search Integration  # Database structure/storage     Features not being migrated:  # Content Library -> Facebook, Twitter and LinkedIn Publishing      *Engineering Considerations*  # We need to have proper separation of concerns between web API, business layer and repository layers  # Where possible we should .Net Standard 2.0 class libraries  # Where possible remove dependencies of DNN Dlls  # Must support DNN's native:  ## Permission  ## Localization  ## Workflow   ## Search  # The above systems should be integrated using Dependency Injection  # Must use SQL Server for data storage, but the repository layer should be abstractable, where other data storage (e.g. MongoDB) can be used. Current Liquid Content uses DocumentDB which is Azure only service  ## We may require newer version of SQL Server, e.g. 2016 (especially if we want to take advantage of Json data types)   # Have source code in a new repository outside of Dnn.Platform. Our goal is to keep things as decoupled as possible - continue to slim down Platform, and certainly not more.  ## This should be Library type extension.   ## In theory, one could choose not to install Structured Content on DNN.  ## Any module taking advantage of SC must specify dependency on this library.  # Should be scalable, must support 1M+ content items with ease (of course depends on hardware). Solution should linearly scale with more hardware resources.     """
MULE,MULE-13129,Task,12,+3:oauth; +2:authentication; +2:authorization; +2:connector; +1:module,KEEP,,Provide Auth2.0 Authorization Code auth mechanism on Smart Connectors,"""{{We need to add a new kind of authentication mechanism to provide Auth2.0 Authorization Code. }}    Right now Http connector only provides the following auth mechanisms:   * Basic Authentication (built in in the same HTTP connector)   * Auth2.0 Client Credentials (in the OAuth module)"""
CONFSERVER,CONFSERVER-59097,Suggestion,11,+3:saml; +3:sso; +2:authentication; +1:plugin,KEEP,,SAML AuthnRequest should be signed,"""Although the official [SAML standards|http://docs.oasis-open.org/security/saml/v2.0/saml-core-2.0-os.pdf] do not require it, many IdPs require a signed AuthNRequest for security reasons.    However, Confluence DC (with the Atlassian SAML SSO plugin) is sending an auth request like this one and doesn't have an option to sign it:    Thereby, authentication requests to IdPs that require the signature will fail with this error:  """
JRASERVER,JRASERVER-71712,Suggestion,11,+3:saml; +3:sso; +2:sdk; +1:api,KEEP,,Support for JIT Gsuite.,"""With SAML, we added a custom multi-valued user attribute in G Suite as described in the article below to represent groups the user belongs to:https://support.google.com/a/answer/6208725?hl=en    This helped work around the mandatory Groups field in the JIT provisioning settings and allowed us to authenticate successfully with a local account being provisioned automatically. However manually duplicating the list of groups a user belongs to in a custom G suite attribute is a lot of overhead when we consider doing this for hundreds of users. It's also error prone (groups have to be typed in, not selected from a list when adding to the custom attribute) and is also a security risk (eg: not removing the group name from the custom attribute when the user's been removed from the Google group could result in a user still having access to resources they're not supposed to have access to). We also reached out to Google to see whether there's a way to fetch the actual Google groups as an attribute, however they said it's not possible at this time and that the application needs to fetch the group information using the Directory API (please see here: https://developers.google.com/admin-sdk/directory/v1/reference/groups/list). Is supporting G Suite as an IdP in the SSO settings using this mechanism something we can request as a feature?"""
CONFSERVER,CONFSERVER-60415,Suggestion,10,+3:saml; +3:sso; +2:connector,KEEP,,Provide support for multiple identity providers (IdPs) in native DC SAML connector,"""h3. Problem Definition  The native SAML connector in Jira Data Center only allows for the configuration of a single IdP. This is limiting for certain use cases, especially where external users may be authenticating to an instance via a different domain.     h3. Suggested Solution  Provide support for configuration multiple IdPs using the native SAML connector.     h3. Workaround   There are several third-party DC SAML/SSO plugins on the Atlassian Marketplace that allow for the configuration of multiple IdPs."""
DM,DM-24959,Improvement,10,+2:rest api; +2:authorization; +1:protocol; +1:api; +1:interface,KEEP,,Modifying published catalogs and tables in Qserv,"""The present implementation of the Replication/Ingest system's management system already supports deleting partially ingested catalogs (not tables) using the following resource:  ||method||resource||  |DELETE|/ingest/database/:name|    Unfortunately, the present mechanism leaves behind a number of other use cases which are still important. Hence the *main* objective of the proposed effort is to extend the existing implementation of the system's management interface (the REST API) to allow deleting select tables from the *non*-{{published}} catalogs as well as tables from the {{published}} catalogs, or the whole catalogs. These are examples of catalogs which may need to be deleted:   * test catalogs   * obsolete or wrong (based on the incorrect input) catalogs   * catalogs for which a new (better) version had been ingested   * less important catalogs (to clear disk space in Qserv workers before ingesting more important ones)   * catalogs contributed by users if a users is n longer interested in the catalog    The *second* objective of the effort is to implement a mechanism for *un-{{publishing}}* catalogs. In addition to the above stated scenarios, this one would also allow _extending_ existing catalogs with more tables, _chunks_, adding rows to existing _regular_ or _partitioned_ (_chunked_) tables, removing rows (based on a specific {{super-transaction}}) from existing _regular_ or _partitioned_ (_chunked_) tables. The proposed _bi-directional_ transitions of catalogs between the {{published}} and *non-*{{published}} states would be needed for   * QA-ing large catalogs during their _incremental_ ingests   * fixing problems with catalog ingests which were discovered during QA. This would be done by removing contributions into the catalog made during a specific {{super-transaction}}   * supporting user-level (contributed) catalogs which may be less static by their very nature compared with the production ones (LSST DRP, etc.)    Additional requirements/restrictions:   * all operations affecting *non-*{{published}} catalogs should begin with *un-*{{publishing}} a catalog first.   * the operations affecting the {{published}} catalogs will require adding extra security (management privileges) on top of what was already implemented with the {{auth_key}} based authorization: https://jira.lsstcorp.org/browse/DM-22745. One option here which won't require changing the protocol would be to discriminate different values of the keys to treat some of those as the """"high privilege"""" ones.   * the operation should *not* allow deleting the {{director}} table alone unless the whole database is being deleted.    Deleting a table requires eliminating the following data within Qserv and the Replication system's configuration:   * all instances of the table at workers   * an instance of the table from the {{information_schema}} table at Qserv {{czar}}'s database   * the the corresponding entry from {{CSS}}   * the table entry from the Replication System's Configuration    Deleting a whole catalog (database) requires deleting:   * all instances of the database at workers   * an instance of the database from the {{information_schema}} table at Qserv {{czar}}'s database   * the the corresponding entry from {{CSS}}   * the {{secondary_index}} for the {{director}} table of the database   * the {{empty chunk list}} file or the table.   * the database entry from the Replication System's Configuration    The proposed operation of *un*-{{publishing}} a catalog requires:   * eliminating the catalog from {{CSS}} to prevent Qserv from seeing the catalog   * reinstalling MySQL partitions (or creating the default partition *0* if none existed before) at all tables of the catalog. This step should also affect the {{secondary index}}    The the following resource are to be added:  ||method||resource||role||  |DELETE|/ingest/table/:name|deleting select tables of the *non*-{{published}} catalogs|  |PUT|/replication/database/:name|*un*-{{publish}} a catalog, so that it could be further modified|"""
