project,issue_key,issue_type,design_score,confidence_tier,n_reason,summary,description
APSTUD,APSTUD-8190,Bug,0,1,bug_type+score_0,"""Application stops unexpectedly in Ubuntu 14.04""","""""""h3. Steps to Reproduce I'm using Linux Ubuntu 14.04  h3. Actual Result <USER>stops without I asked, since my Ubuntu upgrade  h3. Expected Result ."""""""
APSTUD,APSTUD-8191,Bug,0,1,bug_type+score_0,"""FTP not working""","""""""i have aptana 3 on windows 8.1    when i use FTP (remote) i got this message  (Fetching directory failed  Connection reset)    by the way FTP working good with others software    in attchment the .log file"""""""
APSTUD,APSTUD-8193,Bug,0,1,bug_type+score_0,"""Ftp Not Working good""","""""""i have apatana studio 3  on windows 8.1 and windows 8    when i try using FTP (remote)  he connect good and when i list folders i got this message  (  Fetching directory failed  Connection reset  )    about firewall i am make full allow for aptana  by the way i have others FTP programmers working fine"""""""
APSTUD,APSTUD-8194,Bug,0,1,bug_type+score_0,"""Studio 3.5.1 Toolbar: odd delay after virtual desktop switch""","""""""I use the virtual desktop manager Dexpot (http://www.dexpot.de/) which allows me to switch between several desktops on a Windows machine (Windows 7 Pro x64).    After installing <USER>Studio 3.5.1 (build 3.5.1.201404101117), I see an odd display behavior. If the Studio window has been hidden (that is, when I switch to another virtual desktop), when it re-displays the toolbars (below the menu but above the Editor, Project Explorer, etc. views, and on the sides) are not displayed immediately, but pop into existence after a second or two. Everything functions as expected after the toolbars appear, but it's disconcerting.    This did not happen with <USER>Studio 3.4.2, but began happening immediately when I installed Studio 3.5.1.    Right after restoring the desktop containing <USER>Studio it looks like the attached screenshot aptana_toolbar_delay_1.jpg.    After a couple of seconds it looks like the attached screenshot aptana_toolbar_delay_2.jpg.    This is with the new """"""""Light Studio"""""""" theme. I tried some of the other themes and saw similar behavior."""""""
APSTUD,APSTUD-8195,Bug,0,1,bug_type+score_0,"""Aptana Freezes when editing CSS""","""""""When editing CSS aptana freezes and becomes unresponsive, unless forcibly closed. Sometimes closes suddenly without freezing. This always happens.  It has been tested on several java versions and different hardware, linux ubuntu and the problem persists.    When editing html, it was observed that when the editor detects pairs of opening / closing, after clicking on one of them (ex: <head> .... </ head>), aptana closes suddenly. It was tested on ubuntu. In windows all functions are implemented correctly."""""""
APSTUD,APSTUD-8200,Bug,0,1,bug_type+score_0,"""Headline menu fails to appear""","""""""When opening <USER>the headline menu fails to appear. Only when I click on an underlying open app and then click back again does the headline menu appear."""""""
APSTUD,APSTUD-8202,Bug,0,1,bug_type+score_0,"""File Open selection dialog box does not appear""","""""""After a while the Open File menu item fails to respond. Upon clicking it the file selection dialog box does not appear and the only way to resolve the problem is by closing <USER>and opening it again."""""""
APSTUD,APSTUD-8204,Bug,0,1,bug_type+score_0,"""Crashes after running the program in browser""","""""""when i run the program it will run perfectly, but after that i cant access the aptan studio, it will stuck o the position,  after some time automatically close aptana studio,.  another problem is, when i click preview it will crash...    i attached a crash report with this"""""""
APSTUD,APSTUD-8205,Bug,0,1,bug_type+score_0,"""Phpdoc parameters""","""""""h3. Steps to Reproduce Writing /** and tabulation will generate autocomments for the functions/methods but if functions have any parameters so it will not be in the comment part.  h3. Actual Result Comment without the parameters  h3. Expected Result Commet with parameters"""""""
APSTUD,APSTUD-8208,Bug,0,1,bug_type+score_0,"""Aptana crashes after upgrading to Ubuntu 14.04""","""""""After upgrading machine from Xubuntu 13.10 to 14.04, <USER>will not stay open for longer than a couple of minutes before disappearing. No error is shown.    I have tried completely removing <USER>and purging Java and OpenJDK, problem persists after reinstalling.    Attached is the latest error report. Core dump is over 450 MB so I could not attach.    I started an ongoing discussion on StackOverflow, found here:  http://stackoverflow.com/questions/23548097/aptana-crashes-after-upgrading-to-xubuntu-14-04      UPDATE:  I turned off Window->Preferences-><USER>Studio->Conent Assist on hover, seems to be stable again. Hasn't crashed in about 30 minutes."""""""
